t,x,y,z
21.66,-0.017564,0.372622,-0.027674
21.79,-0.030155,0.368035,-0.031679
21.94,-0.048679,0.362708,-0.034375
22.07,-0.068546,0.35773,-0.034927
22.22,-0.093759,0.351303,-0.034562
22.36,-0.118186,0.345313,-0.033674
22.49,-0.141214,0.339928,-0.032331
22.63,-0.165088,0.333703,-0.030508
22.76,-0.188226,0.327025,-0.028884
22.91,-0.212261,0.319157,-0.028923
23.05,-0.232524,0.312377,-0.030779
23.19,-0.251209,0.306699,-0.033891
23.33,-0.269451,0.303172,-0.038328
23.47,-0.286888,0.30233,-0.043957
23.62,-0.306343,0.302864,-0.050672
23.75,-0.324025,0.30345,-0.0546
23.9,-0.344522,0.304601,-0.056552
24.04,-0.360272,0.306631,-0.057553
24.18,-0.373597,0.31037,-0.057335
24.32,-0.383135,0.316276,-0.05586
24.46,-0.389396,0.325585,-0.052956
24.59,-0.391835,0.336877,-0.050173
24.74,-0.390082,0.352484,-0.048181
24.87,-0.38556,0.36761,-0.047533
25.01,-0.378009,0.385259,-0.04839
25.15,-0.369527,0.403813,-0.050972
25.3,-0.3598,0.425605,-0.056265
25.43,-0.351223,0.444427,-0.062687
25.58,-0.342318,0.465264,-0.071229
25.71,-0.335768,0.482083,-0.078696
25.86,-0.330218,0.500149,-0.086282
26.0,-0.32791,0.515,-0.090633
26.14,-0.328095,0.529064,-0.092804
26.27,-0.329508,0.54078,-0.092511
26.42,-0.329552,0.553392,-0.090224
26.55,-0.326625,0.564372,-0.087896
26.69,-0.321035,0.576463,-0.085245
26.83,-0.313615,0.589117,-0.081393
26.96,-0.305852,0.601712,-0.077296
27.11,-0.295591,0.618226,-0.071245
27.25,-0.286653,0.634597,-0.063769
27.38,-0.278311,0.651374,-0.055933
27.52,-0.26888,0.671052,-0.047
27.66,-0.257677,0.692981,-0.038525
27.8,-0.244106,0.717019,-0.031072
27.94,-0.227839,0.744371,-0.024138
28.08,-0.209244,0.772114,-0.019062
28.22,-0.189483,0.798453,-0.015837
28.36,-0.168014,0.822467,-0.015141
28.5,-0.146067,0.843527,-0.016764
28.64,-0.124383,0.86126,-0.021202
28.78,-0.101679,0.876282,-0.029265
28.92,-0.07919,0.887262,-0.040663
29.05,-0.05963,0.893588,-0.05364
29.19,-0.039458,0.8965,-0.069483
29.32,-0.021796,0.896044,-0.085783
29.47,-0.001527,0.8915,-0.105588
29.6,0.016371,0.88429,-0.123444
29.75,0.040978,0.872244,-0.146915
29.87,0.061799,0.860916,-0.166653
30.03,0.090173,0.843475,-0.194002
30.17,0.114327,0.826462,-0.217406
30.31,0.139257,0.808808,-0.239286
30.45,0.163581,0.79167,-0.25609
30.59,0.185517,0.773987,-0.264383
30.72,0.200844,0.759667,-0.265062
30.87,0.21241,0.743992,-0.262342
31.01,0.217793,0.729277,-0.261374
31.14,0.217543,0.715186,-0.263416
31.29,0.209214,0.698375,-0.269388
31.42,0.194551,0.682077,-0.277153
31.57,0.169593,0.663193,-0.286127
31.68,0.146723,0.649214,-0.291016
31.84,0.107005,0.62927,-0.29559
31.98,0.067301,0.611773,-0.295856
32.12,0.022389,0.593686,-0.293838
32.26,-0.033336,0.574635,-0.291938
32.4,-0.096406,0.558483,-0.292923
32.54,-0.166289,0.545995,-0.298203
32.67,-0.235514,0.536195,-0.306039
32.82,-0.321067,0.528014,-0.31269
32.95,-0.401961,0.523743,-0.31041
33.1,-0.512949,0.520981,-0.299882
33.24,-0.62583,0.519039,-0.291698
