t,x,y,z,mode
6.18,0.294237,-1.799919,0.873874,FLOW
6.2,0.292198,-1.797058,0.880989,FLOW
6.22,0.286237,-1.792345,0.873474,FLOW
6.24,0.293681,-1.79062,0.869918,FLOW
6.26,0.29456,-1.793806,0.886226,FLOW
6.28,0.290418,-1.799842,0.884596,FLOW
6.3,0.307517,-1.799931,0.880016,FLOW
6.32,0.304821,-1.803237,0.88433,FLOW
6.34,0.303982,-1.804088,0.894603,FLOW
6.36,0.302924,-1.804912,0.884846,FLOW
6.38,0.313215,-1.794166,0.897387,FLOW
6.4,0.313192,-1.799088,0.909922,FLOW
6.42,0.312606,-1.797887,0.893764,FLOW
6.44,0.312794,-1.793032,0.913185,FLOW
6.46,0.321908,-1.797206,0.907597,FLOW
6.48,0.323534,-1.797712,0.91134,FLOW
6.5,0.323089,-1.80281,0.915153,FLOW
6.52,0.698647,-1.774166,0.923113,FLOW
6.54,0.696326,-1.770186,0.927384,FLOW
6.56,0.696958,-1.770343,0.912901,FLOW
6.58,0.699658,-1.772788,0.930344,FLOW
6.6,0.962777,-1.857326,0.921459,FLOW
6.62,0.967582,-1.857158,0.93707,FLOW
6.64,0.96667,-1.857623,0.938556,FLOW
6.66,0.969245,-1.854614,0.938424,FLOW
6.68,1.164054,-1.917075,0.941772,FLOW
6.7,1.164013,-1.913412,0.93918,FLOW
6.72,1.164614,-1.915004,0.947768,FLOW
6.74,1.157777,-1.919609,0.951604,FLOW
6.76,0.998119,-1.991953,0.95011,FLOW
6.78,0.994838,-1.991922,0.952505,FLOW
6.8,0.99466,-1.992518,0.949069,FLOW
6.82,0.997827,-1.994948,0.964034,FLOW
6.84,1.125612,-2.06705,0.96755,FLOW
6.86,1.127749,-2.070372,0.96731,FLOW
6.88,1.12798,-2.070591,0.965806,FLOW
6.9,1.119699,-2.067259,0.968611,FLOW
6.92,1.176082,-2.076431,0.96059,FLOW
6.94,1.175944,-2.081871,0.981567,FLOW
6.96,1.172627,-2.088587,0.974349,FLOW
6.98,1.324133,-2.190567,0.98167,FLOW
7.0,1.320455,-2.194577,0.985386,FLOW
7.02,1.320756,-2.197049,0.990888,FLOW
7.04,1.325935,-2.189044,0.991293,FLOW
7.06,1.588472,-2.255724,0.9942,FLOW
7.08,1.587596,-2.261283,0.988683,FLOW
7.1,-0.161532,-1.477647,1.096942,GPS
7.1,1.590106,-2.271681,0.993348,FLOW
7.2,-0.1611,-1.448058,1.13185,GPS
7.3,-0.12867,-1.452299,1.135015,GPS
7.4,-0.09298,-1.403717,1.133931,GPS
7.5,-0.084435,-1.371522,1.099709,GPS
7.6,-0.06773,-1.361209,1.044555,GPS
7.7,-0.075745,-1.353728,1.007889,GPS
7.8,-0.105519,-1.323582,0.986095,GPS
7.9,-0.139249,-1.315385,1.026115,GPS
8.0,-0.159956,-1.283554,1.044668,GPS
8.1,-0.137265,-1.281417,1.023477,GPS
8.2,-0.126067,-1.299103,1.010019,GPS
8.3,-0.132473,-1.28668,0.965009,GPS
8.4,-0.123318,-1.258148,0.945861,GPS
8.5,-0.13153,-1.214984,0.898384,GPS
8.6,-0.139727,-1.209596,0.816101,GPS
