t,x,y,z,mode
3.92,0.06818,-0.654223,0.558967,IMU
3.93,0.068011,-0.654415,0.560188,IMU
3.94,0.067839,-0.654608,0.561401,IMU
3.95,0.067658,-0.654801,0.562614,IMU
3.96,0.067474,-0.654993,0.563832,IMU
3.97,0.067289,-0.655182,0.565053,IMU
3.98,0.067101,-0.655368,0.566261,IMU
3.99,0.066908,-0.655556,0.567446,IMU
4.0,0.066711,-0.655745,0.56862,IMU
4.01,0.066507,-0.655935,0.569787,IMU
4.02,0.066296,-0.656125,0.570938,IMU
4.03,0.066083,-0.656318,0.572077,IMU
4.04,0.065868,-0.656514,0.573215,IMU
4.05,0.065653,-0.656712,0.574356,IMU
4.06,0.065439,-0.656913,0.575494,IMU
4.07,0.065224,-0.65711,0.576632,IMU
4.08,0.065009,-0.657303,0.577774,IMU
4.09,0.064796,-0.657495,0.578923,IMU
4.1,0.055674,-0.40842,0.563667,GPS
4.1,0.064581,-0.657687,0.580074,IMU
4.2,-0.096203,-0.437085,0.623404,GPS
4.3,-0.062823,-0.670779,0.493083,GPS
4.4,-0.14068,-0.907211,0.209772,GPS
4.5,-0.202099,-0.962782,0.182573,GPS
4.6,-0.299852,-0.903732,0.261646,GPS
4.7,-0.344953,-0.966047,0.526063,GPS
4.8,-0.4233,-0.644774,0.776794,GPS
4.9,-0.397509,-0.611111,0.867772,GPS
5.0,-0.395408,-0.388301,0.981041,GPS
5.1,-0.232341,-0.280648,1.213777,GPS
5.2,-0.08643,-0.176766,1.436296,GPS
5.3,0.052512,-0.123186,1.511936,GPS
5.4,0.112895,-0.103277,1.022891,GPS
5.5,0.060177,-0.040799,0.855217,GPS
5.6,0.241991,-0.03121,1.028023,GPS
5.7,0.125722,0.123289,0.952984,GPS
5.8,-0.072383,-0.005599,1.082832,GPS
5.9,-0.177803,-0.224941,1.007031,GPS
5.9,0.032678,0.060369,1.031933,IMU
5.91,0.032677,0.06037,1.033353,IMU
5.92,0.032678,0.060373,1.03477,IMU
5.93,0.032686,0.060384,1.03619,IMU
5.94,0.032702,0.060399,1.037612,IMU
5.95,0.032719,0.060409,1.039036,IMU
5.96,0.032732,0.060409,1.040464,IMU
5.97,0.032739,0.060408,1.041895,IMU
5.98,0.03274,0.060407,1.04333,IMU
5.99,0.032741,0.060407,1.044761,IMU
6.0,0.032745,0.060406,1.046183,IMU
6.01,0.03275,0.060409,1.047604,IMU
6.02,0.03276,0.060415,1.049015,IMU
6.03,0.032783,0.06042,1.050408,IMU
6.04,0.032814,0.060428,1.051781,IMU
6.05,0.032843,0.060441,1.053125,IMU
6.06,0.032873,0.060452,1.054454,IMU
6.07,0.032904,0.060454,1.055784,IMU
6.08,0.032935,0.060452,1.057114,IMU
6.09,0.032966,0.060449,1.058443,IMU
6.1,0.032996,0.060444,1.059773,IMU
6.11,0.033025,0.060436,1.061104,IMU
6.12,0.033056,0.060433,1.062441,IMU
6.13,0.033092,0.060433,1.063781,IMU
6.14,0.033135,0.060434,1.065129,IMU
6.15,0.033187,0.060437,1.066483,IMU
6.16,0.033245,0.060442,1.067839,IMU
6.17,0.033303,0.06045,1.069198,IMU
6.18,0.033356,0.060458,1.070557,IMU
6.19,0.033412,0.060465,1.07192,IMU
6.2,0.033471,0.060471,1.073285,IMU
6.21,0.033529,0.060475,1.074656,IMU
6.22,0.033589,0.060481,1.076039,IMU
6.23,0.033645,0.060493,1.077427,IMU
6.24,0.033696,0.06051,1.078818,IMU
6.25,0.033742,0.060528,1.080212,IMU
6.26,0.033788,0.060539,1.081607,IMU
6.27,0.033833,0.060545,1.082999,IMU
6.28,0.033881,0.06055,1.084388,IMU
6.29,0.033932,0.060549,1.085774,IMU
6.3,0.03399,0.060545,1.087158,IMU
6.31,0.034052,0.060543,1.088539,IMU
6.32,0.034117,0.060537,1.08992,IMU
6.33,0.034184,0.060529,1.091305,IMU
6.34,0.034254,0.06052,1.092694,IMU
6.35,0.034329,0.060511,1.094084,IMU
6.36,0.034406,0.060504,1.095465,IMU
6.37,0.03448,0.060503,1.096841,IMU
6.38,0.034558,0.060501,1.098218,IMU
6.39,0.034639,0.060502,1.099599,IMU
6.4,0.034717,0.060507,1.100981,IMU
6.41,0.034794,0.060513,1.102359,IMU
6.42,0.034871,0.060523,1.103734,IMU
6.43,0.034945,0.060535,1.105108,IMU
6.44,0.035017,0.06054,1.106483,IMU
6.45,0.035087,0.06054,1.107859,IMU
6.46,0.035157,0.060536,1.109236,IMU
6.47,0.035226,0.060534,1.110616,IMU
6.48,0.035292,0.060533,1.111995,IMU
6.49,0.035361,0.060529,1.11337,IMU
6.5,0.035436,0.060517,1.11474,IMU
6.51,0.035515,0.060499,1.116112,IMU
6.52,0.035599,0.060474,1.117485,IMU
6.53,0.035688,0.060447,1.118854,IMU
6.54,0.03578,0.060424,1.120213,IMU
6.55,0.035869,0.060399,1.121562,IMU
6.56,0.035957,0.060372,1.122903,IMU
6.57,0.036041,0.060344,1.124237,IMU
6.58,0.036122,0.060308,1.125565,IMU
6.59,0.036204,0.060265,1.126891,IMU
6.6,0.036292,0.06022,1.128221,IMU
6.61,0.036382,0.060179,1.129554,IMU
6.62,0.036468,0.060136,1.130891,IMU
6.63,0.03655,0.060093,1.13224,IMU
6.64,0.036635,0.06005,1.133597,IMU
6.65,0.036725,0.060001,1.134953,IMU
6.66,0.036819,0.059942,1.136293,IMU
6.67,0.036919,0.059875,1.137616,IMU
6.68,0.037022,0.059806,1.138935,IMU
6.69,0.037122,0.059737,1.14026,IMU
6.7,0.037224,0.059669,1.141591,IMU
6.71,0.037331,0.059601,1.142917,IMU
6.72,0.037443,0.059533,1.144225,IMU
6.73,0.037559,0.059466,1.145521,IMU
6.74,0.037676,0.059402,1.146814,IMU
6.75,0.037792,0.059343,1.148114,IMU
6.76,0.037912,0.059285,1.149418,IMU
6.77,0.038037,0.059227,1.15072,IMU
6.78,0.03816,0.059172,1.152023,IMU
6.79,0.038288,0.059118,1.15333,IMU
6.8,0.03842,0.059063,1.154648,IMU
6.81,0.038552,0.059005,1.155979,IMU
6.82,0.038682,0.058943,1.15732,IMU
6.83,0.038808,0.058887,1.158667,IMU
6.84,0.038935,0.058834,1.160018,IMU
6.85,0.039066,0.058779,1.161375,IMU
6.86,0.039198,0.058725,1.162736,IMU
6.87,0.03933,0.05867,1.164103,IMU
6.88,0.039466,0.058618,1.165478,IMU
6.89,0.039602,0.058572,1.166843,IMU
6.9,0.039729,0.058532,1.16818,IMU
6.91,0.039855,0.058495,1.169499,IMU
6.92,0.039984,0.058459,1.170814,IMU
6.93,0.040113,0.058423,1.172129,IMU
6.94,0.040236,0.058388,1.173449,IMU
6.95,0.040357,0.05835,1.174772,IMU
6.96,0.040479,0.058311,1.176099,IMU
6.97,0.040604,0.058272,1.177426,IMU
6.98,0.040731,0.058235,1.178744,IMU
6.99,0.040861,0.058203,1.180042,IMU
7.0,0.040989,0.058174,1.181329,IMU
7.01,0.041112,0.058139,1.182569,IMU
7.02,0.041238,0.058102,1.183708,IMU
7.03,0.041363,0.058068,1.18472,IMU
7.04,0.041485,0.05803,1.185589,IMU
7.05,0.041627,0.057978,1.186343,IMU
7.06,0.041815,0.057918,1.187035,IMU
7.07,0.042068,0.057852,1.187688,IMU
7.08,0.042394,0.057778,1.18832,IMU
7.09,0.042795,0.057695,1.188968,IMU
7.1,0.36956,-0.01885,0.614704,GPS
7.1,0.04327,0.057605,1.189641,IMU
7.2,0.305024,0.025945,0.539271,GPS
7.3,0.395675,0.171458,0.645966,GPS
7.4,0.285344,0.424822,0.904934,GPS
7.5,0.057608,0.473157,0.863619,GPS
7.6,-0.115793,0.54717,1.002174,GPS
7.7,-0.150444,0.471276,0.920827,GPS
7.8,-0.191107,0.263009,0.956811,GPS
7.9,-0.215286,0.117735,1.048766,GPS
8.0,-0.155779,-0.296461,0.99225,GPS
8.1,-0.117192,-0.220416,1.056224,GPS
8.2,-0.025984,-0.342785,1.151147,GPS
8.3,-0.057843,-0.554925,1.007049,GPS
8.4,-0.049222,-0.392346,0.985123,GPS
8.5,0.070002,-0.506441,1.198,GPS
8.6,0.178707,-0.28263,1.53756,GPS
8.7,0.069976,-0.326984,1.776907,GPS
8.8,-0.163325,-0.135406,1.752569,GPS
8.9,-0.177702,-0.236124,1.726693,GPS
8.9,-0.02441,-0.190094,1.872796,IMU
8.91,-0.023512,-0.190079,1.873279,IMU
8.92,-0.02262,-0.190066,1.873745,IMU
8.93,-0.021727,-0.190051,1.874202,IMU
8.94,-0.020829,-0.190036,1.874662,IMU
8.95,-0.019918,-0.190013,1.875136,IMU
8.96,-0.018994,-0.189982,1.875627,IMU
8.97,-0.018059,-0.189942,1.876139,IMU
8.98,-0.017111,-0.189888,1.876669,IMU
8.99,-0.01615,-0.189822,1.877203,IMU
9.0,-0.015172,-0.189746,1.877739,IMU
9.01,-0.014181,-0.189657,1.878293,IMU
9.02,-0.013172,-0.18956,1.878873,IMU
9.03,-0.012142,-0.189457,1.879484,IMU
9.04,-0.01109,-0.189348,1.880126,IMU
9.05,-0.010016,-0.189229,1.880784,IMU
9.06,-0.008923,-0.189102,1.881451,IMU
9.07,-0.007815,-0.188973,1.88213,IMU
9.08,-0.00669,-0.188835,1.882814,IMU
9.09,-0.005551,-0.188684,1.883505,IMU
9.1,-0.004397,-0.188523,1.884203,IMU
9.11,-0.003224,-0.188356,1.884904,IMU
9.12,-0.002034,-0.188185,1.885606,IMU
9.13,-0.000833,-0.188015,1.886305,IMU
9.14,0.000381,-0.187843,1.886994,IMU
9.15,0.001603,-0.187668,1.88767,IMU
9.16,0.00283,-0.187489,1.88833,IMU
9.17,0.004065,-0.18731,1.888977,IMU
9.18,0.005312,-0.187132,1.8896,IMU
9.19,0.006571,-0.18695,1.890204,IMU
9.2,0.007837,-0.186762,1.890808,IMU
9.21,0.00911,-0.186571,1.891412,IMU
9.22,0.01039,-0.186377,1.891992,IMU
9.23,0.01168,-0.186182,1.892545,IMU
9.24,0.012974,-0.185989,1.893083,IMU
9.25,0.014269,-0.18579,1.893607,IMU
9.26,0.015567,-0.185583,1.894136,IMU
9.27,0.01687,-0.185373,1.894674,IMU
9.28,0.018185,-0.18516,1.895221,IMU
9.29,0.01952,-0.18493,1.895787,IMU
9.3,0.020877,-0.184686,1.896375,IMU
9.31,0.022256,-0.184428,1.896977,IMU
9.32,0.023651,-0.184154,1.897588,IMU
9.33,0.025058,-0.183874,1.898194,IMU
9.34,0.026479,-0.183597,1.898791,IMU
9.35,0.027914,-0.183313,1.899393,IMU
9.36,0.029359,-0.183019,1.899993,IMU
9.37,0.030808,-0.18272,1.900586,IMU
9.38,0.032268,-0.182417,1.901178,IMU
9.39,0.033751,-0.182105,1.901762,IMU
9.4,0.035257,-0.181787,1.902339,IMU
9.41,0.036778,-0.181465,1.902916,IMU
9.42,0.038312,-0.181139,1.903468,IMU
9.43,0.03986,-0.180811,1.903982,IMU
9.44,0.041416,-0.180478,1.904483,IMU
9.45,0.042976,-0.180139,1.904994,IMU
9.46,0.044543,-0.179791,1.905524,IMU
9.47,0.046119,-0.179435,1.906041,IMU
9.48,0.047714,-0.179075,1.906517,IMU
9.49,0.049332,-0.178709,1.906967,IMU
9.5,0.050959,-0.178335,1.907404,IMU
9.51,0.052583,-0.177958,1.907823,IMU
9.52,0.05421,-0.177575,1.908229,IMU
9.53,0.055847,-0.177188,1.908603,IMU
9.54,0.057488,-0.176789,1.908905,IMU
9.55,0.05913,-0.17638,1.90913,IMU
9.56,0.060766,-0.175961,1.909281,IMU
9.57,0.062386,-0.175539,1.909394,IMU
9.58,0.064,-0.175115,1.909524,IMU
9.59,0.065632,-0.174684,1.909707,IMU
9.6,0.067289,-0.17425,1.909951,IMU
9.61,0.068974,-0.173807,1.910262,IMU
9.62,0.070688,-0.173349,1.910644,IMU
9.63,0.072432,-0.172874,1.911062,IMU
9.64,0.074206,-0.172393,1.911497,IMU
9.65,0.076007,-0.171914,1.91196,IMU
9.66,0.077828,-0.17143,1.912447,IMU
9.67,0.079671,-0.170935,1.912956,IMU
9.68,0.081532,-0.170434,1.913485,IMU
9.69,0.083416,-0.16993,1.914031,IMU
9.7,0.085324,-0.169421,1.914588,IMU
9.71,0.087254,-0.168907,1.915156,IMU
9.72,0.089196,-0.168379,1.915696,IMU
9.73,0.091151,-0.167834,1.916179,IMU
9.74,0.093111,-0.167279,1.916595,IMU
9.75,0.095059,-0.166716,1.916921,IMU
9.76,0.09698,-0.166147,1.917176,IMU
9.77,0.098881,-0.165583,1.917389,IMU
9.78,0.100776,-0.165021,1.917591,IMU
9.79,0.102674,-0.164447,1.917817,IMU
9.8,0.104582,-0.163862,1.918092,IMU
9.81,0.106506,-0.163266,1.918417,IMU
9.82,0.10845,-0.162656,1.918791,IMU
9.83,0.110412,-0.162037,1.919209,IMU
9.84,0.112394,-0.161409,1.919667,IMU
9.85,0.114398,-0.160768,1.920145,IMU
9.86,0.116419,-0.160111,1.920611,IMU
9.87,0.118453,-0.15944,1.92105,IMU
9.88,0.12049,-0.158757,1.921469,IMU
9.89,0.122522,-0.158065,1.921877,IMU
9.9,0.124557,-0.157366,1.922282,IMU
9.91,0.126603,-0.15666,1.9227,IMU
9.92,0.128668,-0.155948,1.923139,IMU
9.93,0.130755,-0.155225,1.923598,IMU
9.94,0.132857,-0.154487,1.924083,IMU
9.95,0.13497,-0.153735,1.924584,IMU
9.96,0.137095,-0.152969,1.92509,IMU
9.97,0.139236,-0.152194,1.925607,IMU
9.98,0.141397,-0.151409,1.926139,IMU
9.99,0.143575,-0.150613,1.926676,IMU
10.0,0.14577,-0.149801,1.927219,IMU
10.01,0.147983,-0.148973,1.927763,IMU
10.02,0.150208,-0.148142,1.928304,IMU
10.03,0.15244,-0.147308,1.928856,IMU
10.04,0.154679,-0.146467,1.929419,IMU
10.05,0.156936,-0.145618,1.929983,IMU
10.06,0.159217,-0.144759,1.930543,IMU
10.07,0.161513,-0.143894,1.931112,IMU
10.08,0.163822,-0.143023,1.931684,IMU
10.09,0.166143,-0.142147,1.932261,IMU
10.1,0.572897,-0.331848,2.168141,GPS
10.1,0.168468,-0.141261,1.932849,IMU
10.2,0.575233,-0.280765,2.034021,GPS
10.3,0.385138,-0.460386,1.906239,GPS
10.4,0.180759,-0.523087,1.942168,GPS
10.5,0.282629,-0.689714,1.965987,GPS
10.6,0.383223,-0.684655,1.98999,GPS
10.7,0.412349,-0.548686,1.46278,GPS
10.8,0.281943,-0.76191,1.154617,GPS
10.9,0.196875,-0.698958,1.233532,GPS
11.0,0.28765,-0.547558,1.074949,GPS
11.1,0.44833,-0.233612,1.216381,GPS
11.2,0.645757,-0.043102,0.99347,GPS
11.3,0.661014,-0.163709,1.139731,GPS
11.4,0.635797,-0.3263,1.199767,GPS
11.5,0.619089,-0.374734,1.368954,GPS
11.6,0.599963,-0.425223,1.294825,GPS
11.7,0.649826,-0.465869,1.222756,GPS
11.8,0.629027,-0.813397,1.050968,GPS
11.9,0.670206,-0.745292,0.807682,GPS
11.9,0.630188,-0.694171,1.138698,IMU
11.91,0.631008,-0.694202,1.138986,IMU
11.92,0.631818,-0.694237,1.139222,IMU
11.93,0.632623,-0.694275,1.139374,IMU
11.94,0.633417,-0.694318,1.139469,IMU
11.95,0.634189,-0.694366,1.139507,IMU
11.96,0.634943,-0.694416,1.1395,IMU
11.97,0.635681,-0.694472,1.139456,IMU
11.98,0.63641,-0.694532,1.139393,IMU
11.99,0.637133,-0.694595,1.139342,IMU
12.0,0.637852,-0.694657,1.139315,IMU
12.01,0.638572,-0.694717,1.139314,IMU
12.02,0.639296,-0.694782,1.139341,IMU
12.03,0.640023,-0.694854,1.13939,IMU
12.04,0.640759,-0.694928,1.13946,IMU
12.05,0.641503,-0.695008,1.139559,IMU
12.06,0.642252,-0.695091,1.139679,IMU
12.07,0.64301,-0.69517,1.139817,IMU
12.08,0.643779,-0.695255,1.139969,IMU
12.09,0.644558,-0.695353,1.140097,IMU
12.1,0.645348,-0.695456,1.140177,IMU
12.11,0.646141,-0.695552,1.140222,IMU
12.12,0.646927,-0.695646,1.140244,IMU
12.13,0.647703,-0.695746,1.140273,IMU
12.14,0.64847,-0.695855,1.140343,IMU
12.15,0.649241,-0.695977,1.140444,IMU
12.16,0.650024,-0.696104,1.140569,IMU
12.17,0.650821,-0.696231,1.140735,IMU
12.18,0.651629,-0.696356,1.140941,IMU
12.19,0.652445,-0.696486,1.141179,IMU
12.2,0.653273,-0.696624,1.141442,IMU
12.21,0.654118,-0.696764,1.141723,IMU
12.22,0.654974,-0.696907,1.141986,IMU
12.23,0.655835,-0.697047,1.142209,IMU
12.24,0.656701,-0.69718,1.142401,IMU
12.25,0.657563,-0.697314,1.142551,IMU
12.26,0.658417,-0.697464,1.142673,IMU
12.27,0.659268,-0.697626,1.142803,IMU
12.28,0.66012,-0.697795,1.142952,IMU
12.29,0.660983,-0.697967,1.143124,IMU
12.3,0.661857,-0.698138,1.143322,IMU
12.31,0.662739,-0.698311,1.143549,IMU
12.32,0.663629,-0.698489,1.143789,IMU
12.33,0.66453,-0.698674,1.144026,IMU
12.34,0.665437,-0.698863,1.144212,IMU
12.35,0.666343,-0.699059,1.144305,IMU
12.36,0.66724,-0.699259,1.144312,IMU
12.37,0.668112,-0.699463,1.14423,IMU
12.38,0.668956,-0.699676,1.144085,IMU
12.39,0.669784,-0.699897,1.143936,IMU
12.4,0.670612,-0.700124,1.143825,IMU
12.41,0.671445,-0.700356,1.143765,IMU
12.42,0.672289,-0.700584,1.143759,IMU
12.43,0.673147,-0.700809,1.1438,IMU
12.44,0.674016,-0.701035,1.143879,IMU
12.45,0.674894,-0.701263,1.143994,IMU
12.46,0.675785,-0.701489,1.144145,IMU
12.47,0.676691,-0.701711,1.144334,IMU
12.48,0.677613,-0.701934,1.14455,IMU
12.49,0.678554,-0.70216,1.144789,IMU
12.5,0.679513,-0.702389,1.145033,IMU
12.51,0.680486,-0.702618,1.145273,IMU
12.52,0.681467,-0.70285,1.145523,IMU
12.53,0.682451,-0.703088,1.145783,IMU
12.54,0.683434,-0.703329,1.146053,IMU
12.55,0.684417,-0.703569,1.146338,IMU
12.56,0.685401,-0.703811,1.146635,IMU
12.57,0.686393,-0.704055,1.14694,IMU
12.58,0.687394,-0.704302,1.147256,IMU
12.59,0.688404,-0.704552,1.147572,IMU
12.6,0.689422,-0.704803,1.147879,IMU
12.61,0.690441,-0.705058,1.148183,IMU
12.62,0.691457,-0.705321,1.148488,IMU
12.63,0.692473,-0.70558,1.148801,IMU
12.64,0.693495,-0.705842,1.149122,IMU
12.65,0.694527,-0.706112,1.149443,IMU
12.66,0.695565,-0.706374,1.149763,IMU
12.67,0.696599,-0.706631,1.150082,IMU
12.68,0.69763,-0.706895,1.150392,IMU
12.69,0.698661,-0.707164,1.150688,IMU
12.7,0.699692,-0.707428,1.150978,IMU
12.71,0.700719,-0.707691,1.151244,IMU
12.72,0.701741,-0.707953,1.151461,IMU
12.73,0.702762,-0.708219,1.151645,IMU
12.74,0.703775,-0.70849,1.151785,IMU
12.75,0.704772,-0.708762,1.151865,IMU
12.76,0.705753,-0.709042,1.151918,IMU
12.77,0.706719,-0.709329,1.151963,IMU
12.78,0.707676,-0.709619,1.152003,IMU
12.79,0.708633,-0.709908,1.152053,IMU
12.8,0.709591,-0.7102,1.152125,IMU
12.81,0.71055,-0.710498,1.152207,IMU
12.82,0.711511,-0.7108,1.152297,IMU
12.83,0.712482,-0.711103,1.152414,IMU
12.84,0.713461,-0.711408,1.152561,IMU
12.85,0.714451,-0.711715,1.152734,IMU
12.86,0.715455,-0.712024,1.152929,IMU
12.87,0.716475,-0.712338,1.153133,IMU
12.88,0.717515,-0.712658,1.153349,IMU
12.89,0.718564,-0.712984,1.153584,IMU
12.9,0.719613,-0.713317,1.15384,IMU
12.91,0.720669,-0.713655,1.154106,IMU
12.92,0.72174,-0.713996,1.154377,IMU
12.93,0.722827,-0.714339,1.154652,IMU
12.94,0.723925,-0.714689,1.154933,IMU
12.95,0.725034,-0.715049,1.155221,IMU
12.96,0.726151,-0.715415,1.155507,IMU
12.97,0.727271,-0.715787,1.155787,IMU
12.98,0.728394,-0.716167,1.156064,IMU
12.99,0.729519,-0.716555,1.156334,IMU
13.0,0.730649,-0.716949,1.156591,IMU
13.01,0.73178,-0.717349,1.15684,IMU
13.02,0.732908,-0.717751,1.157067,IMU
13.03,0.734039,-0.718151,1.157278,IMU
13.04,0.735175,-0.718547,1.157494,IMU
13.05,0.736313,-0.718946,1.157704,IMU
13.06,0.737443,-0.719347,1.157906,IMU
13.07,0.738566,-0.719754,1.158098,IMU
13.08,0.73969,-0.720166,1.158252,IMU
13.09,0.740819,-0.720578,1.158357,IMU
13.1,0.645733,0.869615,1.956274,GPS
13.1,0.741949,-0.720992,1.158432,IMU
13.2,0.701689,0.508841,2.016349,GPS
13.3,0.597791,0.474408,1.935065,GPS
13.4,0.571904,0.230615,1.742526,GPS
13.5,0.502756,0.23855,1.591238,GPS
13.6,0.448189,0.027861,1.480826,GPS
13.7,0.465073,-0.018704,1.199879,GPS
13.8,0.529361,-0.127687,1.051975,GPS
13.9,0.73941,0.038519,1.085167,GPS
