t,x,y,z,mode
3.93,-0.432393,-1.62897,-1.273725,IMU
3.94,-0.432198,-1.629357,-1.27253,IMU
3.95,-0.431981,-1.629748,-1.271332,IMU
3.96,-0.431762,-1.630148,-1.270102,IMU
3.97,-0.43155,-1.63053,-1.26886,IMU
3.98,-0.431333,-1.630905,-1.267644,IMU
3.99,-0.431089,-1.631286,-1.266439,IMU
4.0,-0.430823,-1.63166,-1.265218,IMU
4.01,-0.43054,-1.632016,-1.263989,IMU
4.02,-0.430246,-1.632363,-1.262786,IMU
4.03,-0.429943,-1.63272,-1.261619,IMU
4.04,-0.429622,-1.633083,-1.260492,IMU
4.05,-0.429303,-1.633433,-1.259394,IMU
4.06,-0.429003,-1.633779,-1.258285,IMU
4.07,-0.428705,-1.634121,-1.25715,IMU
4.08,-0.4284,-1.634457,-1.255992,IMU
4.09,-0.428095,-1.634783,-1.25481,IMU
4.1,-0.427807,-1.635107,-1.253613,IMU
4.11,-0.427541,-1.635437,-1.252387,IMU
4.12,-0.427287,-1.635769,-1.251134,IMU
4.13,-0.427039,-1.636098,-1.249857,IMU
4.14,-0.426789,-1.63643,-1.248549,IMU
4.15,-0.426531,-1.636771,-1.247243,IMU
4.16,-0.426264,-1.637095,-1.245961,IMU
4.17,-0.42599,-1.637412,-1.244689,IMU
4.18,-0.425712,-1.637733,-1.243405,IMU
4.19,-0.425434,-1.638048,-1.24211,IMU
4.2,-0.42516,-1.638366,-1.240788,IMU
4.21,-0.424889,-1.638679,-1.239444,IMU
4.22,-0.424613,-1.63898,-1.238085,IMU
4.23,-0.424323,-1.63926,-1.236707,IMU
4.24,-0.424032,-1.639529,-1.235321,IMU
4.25,-0.423741,-1.639785,-1.233936,IMU
4.26,-0.423441,-1.640031,-1.232566,IMU
4.27,-0.423131,-1.640264,-1.231214,IMU
4.28,-0.422816,-1.640479,-1.229878,IMU
4.29,-0.422499,-1.640694,-1.228568,IMU
4.3,-0.422186,-1.640909,-1.22728,IMU
4.31,-0.421901,-1.641117,-1.225992,IMU
4.32,-0.421645,-1.641312,-1.224692,IMU
4.33,-0.421398,-1.641503,-1.223394,IMU
4.34,-0.421145,-1.641716,-1.222092,IMU
4.35,-0.420885,-1.641965,-1.220774,IMU
4.36,-0.420628,-1.642248,-1.219434,IMU
4.37,-0.420361,-1.642543,-1.218083,IMU
4.38,-0.420079,-1.642835,-1.216724,IMU
4.39,-0.419786,-1.643128,-1.215354,IMU
4.4,-0.419487,-1.64342,-1.213973,IMU
4.41,-0.419179,-1.643725,-1.212557,IMU
4.42,-0.418861,-1.644049,-1.211118,IMU
4.43,-0.418553,-1.644373,-1.209668,IMU
4.44,-0.418259,-1.644704,-1.208211,IMU
4.45,-0.417963,-1.645049,-1.20675,IMU
4.46,-0.417665,-1.645399,-1.205271,IMU
4.47,-0.417379,-1.645751,-1.203794,IMU
4.48,-0.417092,-1.646099,-1.202349,IMU
4.49,-0.416816,-1.646443,-1.200926,IMU
4.5,-0.416549,-1.646797,-1.199507,IMU
4.51,-0.41628,-1.647159,-1.198098,IMU
4.52,-0.416012,-1.647511,-1.196689,IMU
4.53,-0.415734,-1.647862,-1.195272,IMU
4.54,-0.415459,-1.648208,-1.193843,IMU
4.55,-0.415196,-1.648539,-1.192379,IMU
4.56,-0.414933,-1.648873,-1.190902,IMU
4.57,-0.414664,-1.649215,-1.189421,IMU
4.58,-0.4144,-1.649559,-1.187936,IMU
4.59,-0.414135,-1.649886,-1.186464,IMU
4.6,-0.413863,-1.650198,-1.184997,IMU
4.61,-0.413585,-1.650506,-1.183542,IMU
4.62,-0.413304,-1.650792,-1.182104,IMU
4.63,-0.413033,-1.65108,-1.180681,IMU
4.64,-0.41276,-1.651379,-1.179248,IMU
4.65,-0.412475,-1.651679,-1.177811,IMU
4.66,-0.412177,-1.651984,-1.1764,IMU
4.67,-0.411872,-1.652273,-1.174992,IMU
4.68,-0.411577,-1.652547,-1.17357,IMU
4.69,-0.411295,-1.652813,-1.172134,IMU
4.7,-0.411017,-1.653077,-1.170671,IMU
4.71,-0.410739,-1.653344,-1.169184,IMU
4.72,-0.410462,-1.65361,-1.167683,IMU
4.73,-0.410192,-1.653856,-1.166173,IMU
4.74,-0.409923,-1.654082,-1.164665,IMU
4.75,-0.409672,-1.654317,-1.16318,IMU
4.76,-0.409442,-1.654546,-1.161718,IMU
4.77,-0.409225,-1.65476,-1.160263,IMU
4.78,-0.409007,-1.654978,-1.158813,IMU
4.79,-0.408787,-1.655212,-1.157373,IMU
4.8,-0.408567,-1.655474,-1.15594,IMU
4.81,-0.408347,-1.655754,-1.154499,IMU
4.82,-0.408134,-1.65603,-1.153035,IMU
4.83,-0.407918,-1.656307,-1.151563,IMU
4.84,-0.407699,-1.656586,-1.150082,IMU
4.85,-0.407492,-1.65687,-1.148606,IMU
4.86,-0.407308,-1.657172,-1.147164,IMU
4.87,-0.407142,-1.657495,-1.145737,IMU
4.88,-0.406989,-1.657818,-1.144293,IMU
4.89,-0.406844,-1.658145,-1.142862,IMU
4.9,-0.406713,-1.658478,-1.141467,IMU
4.91,-0.406597,-1.658809,-1.140065,IMU
4.92,-0.406505,-1.659152,-1.138656,IMU
4.93,-0.406426,-1.659517,-1.13726,IMU
4.94,-0.406344,-1.659896,-1.13584,IMU
4.95,-0.406273,-1.660277,-1.1344,IMU
4.96,-0.406212,-1.66066,-1.132995,IMU
4.97,-0.406136,-1.661056,-1.131617,IMU
4.98,-0.406037,-1.661477,-1.130237,IMU
4.99,-0.405935,-1.661898,-1.128861,IMU
5.0,-0.405829,-1.662298,-1.127499,IMU
5.01,-0.405713,-1.662693,-1.126141,IMU
5.02,-0.405597,-1.663084,-1.124755,IMU
5.03,-0.405471,-1.663483,-1.123334,IMU
5.04,-0.405323,-1.663904,-1.121878,IMU
5.05,-0.405167,-1.664342,-1.120412,IMU
5.06,-0.40501,-1.664797,-1.118949,IMU
5.07,-0.404852,-1.665257,-1.117478,IMU
5.08,-0.404682,-1.665703,-1.115993,IMU
5.09,-0.404501,-1.666132,-1.114488,IMU
5.1,-0.404318,-1.666552,-1.112983,IMU
5.11,-0.404121,-1.666957,-1.111467,IMU
5.12,-0.403915,-1.667344,-1.10993,IMU
5.13,-0.403707,-1.667737,-1.108405,IMU
5.14,-0.403494,-1.668149,-1.106891,IMU
5.15,-0.403282,-1.668581,-1.105353,IMU
5.16,-0.403059,-1.669026,-1.103777,IMU
5.17,-0.402828,-1.66947,-1.102187,IMU
5.18,-0.40259,-1.669927,-1.10061,IMU
5.19,-0.402342,-1.670401,-1.099042,IMU
5.2,-0.402088,-1.670882,-1.097475,IMU
