Timestamp QTM,x,y,z,vx,vy,vz,Yaw,ref x,ref y,ref z,ref vx,ref vy,ref vz,Thrust controller,Roll controller,Pitch controller,Roll drone,Pitch drone,Yaw drone,Thrust drone,Comp time,Timestamp Crazyflie,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
753180000,0.07450302124023438,0.020106809616088867,0.026625663757324218,0.0017494201660146758,0.001254081726074531,-0.00025911331176780433,0,0,0,0,0,0,0,1.7097876462201023,0.03761645835966153,-0.05726566367295282,2.1552643042382096,-3.281080839475833,0.0,46049,0.109375,133325,-1.4295239448547363,-1.4172449111938477,-1.4168041944503784,
753320000,0.07427545166015626,0.01995504379272461,0.026816476821899415,-0.00938148498534977,-0.003918266296386308,0.008467960357665984,0,-0.011,-0.011,0.02,0,0,0,1.7211177231475931,0.041089428900667725,-0.06011998857263861,2.3542508586111306,-3.444621609586931,0.0,46243,0.046875,133475,-1.4149727821350098,-1.6017619371414185,-1.2081211805343628,
753470000,0.07251188659667969,0.01857167434692383,0.028242826461791992,-0.017670822143555504,-0.025502777099608784,0.01780490875244161,0,-0.023,-0.023,0.04,0,0,0,1.7259619696306108,0.040810308057399595,-0.06032455276877853,2.3382584123177343,-3.4563422746652344,0.0,46325,0.046875,133615,1.594231367111206,-0.1155681386590004,-1.8644754886627197,
753610000,0.06351836013793945,0.01352225112915039,0.031596317291259765,-0.1254644393920923,-0.057475185394287226,0.017264938354492713,0,-0.034,-0.034,0.06,0,0,0,1.7308382134487066,0.03665423077598414,-0.04421725518629645,2.1001327247624237,-2.533462103827737,0.0,46409,0.015625,133765,2.5668089389801025,5.034397602081299,-4.610733985900879,
753750000,0.03291669082641602,0.0023907532691955567,0.039084117889404295,-0.2900318145751951,-0.0907874822616577,0.062823486328124,0,-0.046,-0.046,0.08,0,0,0,1.7278341096840781,0.028373329078117158,0.000814123526663486,1.625672006911928,0.04664584208012409,0.0,46357,0.0625,133905,2.1678223609924316,5.3525824546813965,-6.353317737579346,
753900000,-0.018379484176635742,-0.012776803970336915,0.04831283187866211,-0.44277596473693837,-0.12359938621521016,0.06246376037597583,0,-0.057,-0.057,0.1,0,0,0,1.73176971817964,0.015982028488193335,0.05665131667437085,0.9157027804313257,3.2458813493005563,0.0,46425,0.046875,134055,1.5887224674224854,3.631478786468506,-6.51195764541626,
754040000,-0.08431976318359374,-0.0317290153503418,0.05679355239868164,-0.488862991333007,-0.14798622131347616,0.05210285186767645,0,-0.069,-0.069,0.12,0,0,0,1.7415043937259553,0.009935622837141908,0.09506950264234831,0.5692692554020281,5.447081261814386,0.0,46591,0.046875,134195,0.27786508202552795,-1.7226874828338623,-6.223799228668213,
754180000,-0.15587660217285157,-0.05687886047363281,0.06136240768432617,-0.45590362548828395,-0.1831548690795895,0.008505821228027219,0,-0.08,-0.08,0.14,0,0,0,1.7706516157977898,-0.004824240110775226,0.11069156688593002,-0.2764085977051452,6.342159610253851,0.0,47089,0.046875,134335,-0.2452976405620575,-4.78707218170166,-5.9996209144592285,
754330000,-0.212898681640625,-0.08711964416503906,0.06166873931884766,-0.35297546386718615,-0.2422256469726554,-0.014304351806640817,0,-0.091,-0.091,0.16,0,0,0,1.7773455686382436,-0.02392464300422671,0.10668219335908702,-1.370781070499381,6.112439428674264,0.0,47203,0.03125,134485,-0.23573140799999237,-6.67132568359375,-5.689889907836914,
754470000,-0.25532554626464843,-0.12737054443359375,0.058963329315185546,-0.19540405273437422,-0.2993747711181639,-0.039157676696777166,0,-0.103,-0.103,0.18,0,0,0,1.8026887857256964,-0.04665830386932505,0.0818195356397014,-2.673323890951244,4.687914073875112,0.0,47636,0.046875,134635,-1.2598716020584106,-6.646023273468018,-5.372077941894531,
754620000,-0.27435205078125,-0.16906436157226562,0.054702133178710935,-0.07086944580078358,-0.3019287109374977,-0.03464183807373143,0,-0.114,-0.114,0.2,0,0,0,1.8187736415218536,-0.0624280062613539,0.047864461986988543,-3.5768612821918557,2.742431660518806,0.0,47910,0.046875,134775,-2.1081697940826416,-5.943487167358398,-5.309142112731934,
754780000,-0.2726611328125,-0.21707991027832033,0.0504414176940918,0.08043670654297175,-0.29405746459960913,-0.025627326965331487,0,-0.126,-0.126,0.22,0,0,0,1.8303130393219325,-0.06750075585111152,0.014966769784509192,-3.867508424211687,0.8575327415963012,0.0,48107,0.0625,134935,-2.931633949279785,-4.455840587615967,-5.38560152053833,
754910000,-0.2539099884033203,-0.2577144775390625,0.050594188690185546,0.16628952026366828,-0.24717330932617076,0.010739517211913463,0,-0.137,-0.137,0.24,0,0,0,1.8232581664770222,-0.07034861866428214,-0.02189041000494175,-4.030678944038618,-1.2542281050941138,0.0,47987,0.0625,135085,-3.562124252319336,-2.5829155445098877,-5.973694801330566,
755070000,-0.22886471557617188,-0.28863433837890623,0.05509348678588867,0.18169860839843538,-0.205349731445309,0.03360290527343775,0,-0.149,-0.149,0.26,0,0,0,1.8261171785769714,-0.06671816439055504,-0.047836934506484644,-3.822669236438822,-2.7408544520653035,0.0,48036,0.09375,135225,-2.4771361351013184,0.745221734046936,-6.14821195602417,
755210000,-0.20663050842285155,-0.31189324951171876,0.06195798110961914,0.12821197509765847,-0.12889099121094205,0.05258255004882868,0,-0.16,-0.16,0.28,0,0,0,1.8304128716401398,-0.05232196944392207,-0.04831217321443449,-2.9978280249491895,-2.7680836242920805,0.0,48109,0.0625,135365,-3.127211809158325,3.162700891494751,-6.8322343826293945,
755340000,-0.19458596801757813,-0.325178466796875,0.07079557800292968,0.04790191650390768,-0.06621093749999696,0.06714820861816462,0,-0.171,-0.171,0.3,0,0,0,1.8267465536660665,-0.038372043813692115,-0.0365785899665304,-2.198556161815638,-2.095798825621771,0.0,48046,0.046875,135505,-2.28655743598938,3.8632137775421143,-7.347582817077637,
755490000,-0.19407000732421875,-0.32878985595703125,0.07790801239013671,-0.03500366210937439,0.0012557983398386874,0.04657936096191251,0,-0.183,-0.183,0.32,0,0,0,1.8311863347175903,-0.02011657192033887,-0.019825581728221523,-1.152594669306799,-1.135922159418774,0.0,48122,0.03125,135645,-2.1313788890838623,3.269338607788086,-7.740525722503662,
755630000,-0.20287557983398438,-0.32328750610351564,0.08202938079833984,-0.08513107299805006,0.06346740722655564,0.021860885620117454,0,-0.194,-0.194,0.34,0,0,0,1.8568653207766583,-0.001449048427682785,-0.00895223883088673,-0.08302435921629146,-0.51292550220294,0.0,48561,0.046875,135795,-1.510026216506958,1.7276989221572876,-7.659571647644043,
755770000,-0.21959463500976562,-0.3108140869140625,0.0826303939819336,-0.12478790283202978,0.09350128173828132,-0.015853881835935918,0,-0.206,-0.206,0.36,0,0,0,1.8671771821229013,0.014908450872496627,0.005135454543680347,0.8541913140721865,0.29423987123416595,0.0,48737,0.046875,135925,-0.11461478471755981,1.0127310752868652,-6.840843677520752,
755920000,-0.2401268768310547,-0.2982709655761719,0.07992932891845703,-0.15960693359374917,0.09347381591797155,0.0020992279052736706,0,-0.217,-0.217,0.38,0,0,0,1.89460223059729,0.023290409812865676,0.015272590976681875,1.3344421854072808,0.8750550051934552,0.0,49205,0.0625,136075,0.1498987376689911,-0.42018404603004456,-5.199175834655762,
756050000,-0.26255096435546876,-0.28829672241210935,0.07768605041503907,-0.15744781494141102,0.05210876464844527,-0.016226196289061134,0,-0.229,-0.229,0.4,0,0,0,1.9028822532084761,0.022901226334894394,0.018724798912872875,1.3121436146633034,1.0728519499387679,0.0,49346,0.03125,136205,0.4847378432750702,-1.1431118249893188,-3.8307323455810547,
756190000,-0.284067626953125,-0.28317584228515624,0.07807991790771485,-0.15244445800780548,0.01737670898437904,0.004208755493165933,0,-0.24,-0.24,0.42,0,0,0,1.9023891163740678,0.020952230741625243,0.02449147470037956,1.200474392879385,1.4032581343831811,0.0,49338,0.046875,136355,1.0232667922973633,-0.7388550639152527,-2.2998223304748535,
756330000,-0.30785580444335936,-0.2835102233886719,0.08115866088867188,-0.17438659667968204,-0.024162292480467418,0.044105148315429915,0,-0.251,-0.251,0.44,0,0,0,1.9090981738207433,0.0133203248314569,0.026726895158661418,0.76319839458579,1.5313382920799319,0.0,49452,0.046875,136485,0.917864978313446,-1.2965879440307617,-2.8683626651763916,
756460000,-0.331649658203125,-0.29043008422851563,0.08612235260009765,-0.1683792114257815,-0.06641235351562691,0.042436981201171564,0,-0.263,-0.263,0.46,0,0,0,1.9105622605719386,0.006495493473135538,0.028984564952521136,0.3721643618654391,1.6606932428022645,0.0,49477,0.0625,136625,1.1368581056594849,-1.741426706314087,-3.1418116092681885,
756600000,-0.35454898071289065,-0.30367044067382815,0.09110098266601563,-0.1681716918945364,-0.11759185791015703,0.03243026733398616,0,-0.274,-0.274,0.48,0,0,0,1.9269687435196372,-0.0033511352972363253,0.03021376450502645,-0.1920059091089601,1.731121189340188,0.0,49757,0.03125,136755,0.6461650729179382,-1.399706244468689,-3.2153759002685547,
756740000,-0.37405020141601564,-0.31989044189453125,0.09552960205078125,-0.13959045410156246,-0.14475402832031525,0.052359008789060885,0,-0.286,-0.286,0.5,0,0,0,1.92278132962869,-0.01415898469939529,0.03351632375804386,-0.8112500654656587,1.9203438961299637,0.0,49686,0.0625,136895,-0.2038629651069641,-1.9539674520492554,-3.0633883476257324,
756870000,-0.39298550415039063,-0.3405340881347656,0.10172225952148438,-0.12616882324218426,-0.15968475341796018,0.03988418579101774,0,-0.297,-0.297,0.52,0,0,0,1.9343545207797384,-0.0201311735915019,0.030629836135136517,-1.1534312834382785,1.7549603377206235,0.0,49883,0.03125,137025,-0.25836411118507385,-1.2828359603881836,-2.559410333633423,
757010000,-0.40932171630859376,-0.361318115234375,0.10937297058105469,-0.1248367309570314,-0.1580352783203176,0.06677474975586017,0,-0.309,-0.309,0.54,0,0,0,1.9324912438260249,-0.029288626832114396,0.034227425818071526,-1.6781147052137733,1.9610870429726075,0.0,49851,0.0625,137165,-0.6030359864234924,-0.9774101972579956,-2.3820362091064453,
757140000,-0.42549041748046873,-0.38372207641601563,0.11974805450439453,-0.11828155517577543,-0.1350952148437501,0.08640289306640764,0,-0.32,-0.32,0.56,0,0,0,1.922001665266424,-0.032272572022294665,0.03785327895981691,-1.8490821709094645,2.168833125128868,0.0,49672,0.046875,137295,-1.5736157894134521,-1.3682938814163208,-2.3218986988067627,
757280000,-0.43893988037109377,-0.4042862548828125,0.13126809692382813,-0.08275909423828276,-0.13933410644530742,0.0766967773437488,0,-0.331,-0.331,0.58,0,0,0,1.921721390835579,-0.03370430810764068,0.04400183474323052,-1.9311146059763735,2.5211194216192214,0.0,49667,0.046875,137445,-1.5724549293518066,-1.7091028690338135,-2.5172171592712402,
