t,lat,lon,alt
22.9,48.85660352848306,2.3522003338385344,35.88801547267296
23.0,48.85659807878165,2.352193609559297,34.14987680749084
23.1,48.856604120607834,2.3522023665609675,35.19566177298986
23.2,48.856604256745264,2.3521997606327223,34.241559730318954
23.3,48.85661732103494,2.3521974235503293,33.53129160651359
23.4,48.85660281656289,2.352193546621536,34.64903067673576
23.5,48.856610355026255,2.3522011609075526,35.42806939955118
23.6,48.85660078996994,2.3522153479978747,35.90844809808704
23.7,48.85659430342904,2.3522038887625487,34.8353633648825
23.8,48.85660639987483,2.352195872618477,34.737267891035295
23.9,48.85659374210808,2.3521937903555603,34.57755019702494
24.0,48.85659524861334,2.352195378993344,35.31051595662135
24.1,48.856598487250125,2.3522016255861757,34.613997895792814
24.2,48.85659233053304,2.3521967960506056,35.19135512528462
24.3,48.85659377173427,2.3521945043028163,35.957681155735195
24.4,48.85659490981214,2.3522103806312638,33.6143016973924
24.5,48.8565874689953,2.35218490078918,35.42639112218287
24.6,48.85660386901009,2.352200022834514,36.337832251694415
24.7,48.85660245109436,2.352189329729196,34.39778442093546
24.8,48.85661818472608,2.352201669191411,35.787078510360274
28.0,48.856584790952176,2.3521974610028114,35.01127609368747
28.1,48.856612723896056,2.352205884693097,36.021647698724976
28.2,48.8566008279844,2.3521908255678787,36.10114784261027
28.3,48.856600374492054,2.3522171934246865,36.94356649446185
28.4,48.85659120578929,2.3522162501309767,36.166037242275834
28.5,48.856622691810706,2.3522052685383006,35.109269028574325
28.6,48.8565971176544,2.3521980952939257,35.00390607809519
28.7,48.85660886625845,2.3522120617953806,33.790559341696095
28.8,48.85661644729199,2.352207430935807,34.63301089741594
28.9,48.85659517529773,2.3522101609837036,37.267035186712754
29.0,48.856594340720534,2.352207783612046,36.69347249301128
29.1,48.85661335999343,2.3522101767103476,34.00679198716462
29.2,48.85660702157384,2.3521953508073272,35.2438947453418
29.3,48.85659512280895,2.352211843806509,32.94650642060381
29.4,48.85659169712354,2.3522000248819466,37.0994555442981
29.5,48.856606119449786,2.3522145375667574,37.056444910788
29.6,48.85660206328347,2.352203484791635,35.666764412561946
29.7,48.85660792618082,2.3522149310931644,35.37114053077057
29.8,48.856617429909534,2.3522026199257398,34.689196357339156
33.0,48.85660161613073,2.352184220026206,35.64920209751584
33.1,48.856605000246674,2.3522003476075684,35.886532442426144
33.2,48.85660048709433,2.3521962793535933,36.47022274404564
33.3,48.85658993635804,2.3521983804658437,33.83408056029411
33.4,48.8566001377173,2.3521886536792054,35.14903347092179
33.5,48.85659642229691,2.3522002959585713,34.115021575179654
33.6,48.856587921567964,2.352187149042505,35.12981079877259
33.7,48.85659772225933,2.352195223453493,36.16837392550939
33.8,48.85660416329307,2.3522058939999275,34.78301884291114
