t,ax,ay,az,wx,wy,wz
64.673124,-0.236445,-0.255437,9.783125,0.002220,-0.004606,0.000349
64.682999,-0.226931,-0.262997,9.781616,-0.001165,0.001879,-0.000914
64.692888,-0.213893,-0.259221,9.770315,-0.001114,0.004896,-0.003494
64.702761,-0.220061,-0.259618,9.792697,-0.001176,0.001129,-0.002808
64.712667,-0.241811,-0.258374,9.814590,-0.001522,0.003504,0.002860
64.722534,-0.243073,-0.266088,9.807665,0.002398,-0.004467,-0.003008
64.732429,-0.220995,-0.260826,9.790634,0.000122,-0.000839,0.001501
64.742308,-0.235486,-0.254267,9.785544,0.000605,-0.000851,-0.000982
64.752212,-0.258817,-0.261413,9.762567,0.001172,-0.002764,0.002812
64.762085,-0.240499,-0.256898,9.778481,0.000775,-0.002763,-0.000408
64.771977,-0.228580,-0.258565,9.784820,-0.000607,-0.000850,-0.003046
64.781859,-0.251818,-0.244823,9.813894,0.000093,0.004234,0.001005
64.791758,-0.247916,-0.247970,9.787121,0.001786,0.000284,-0.000943
64.801627,-0.246933,-0.271121,9.806900,-0.003286,0.001074,-0.000481
64.811529,-0.236956,-0.262060,9.788633,0.003223,0.001079,-0.000496
64.821402,-0.231320,-0.259505,9.765909,0.000237,0.000283,0.001050
64.831309,-0.232273,-0.262082,9.769318,0.001376,0.001453,0.001146
64.841172,-0.248026,-0.265826,9.766297,0.002736,0.003744,-0.000603
64.851067,-0.250129,-0.254990,9.781308,0.001762,-0.002028,0.001850
64.860950,-0.252862,-0.242922,9.804903,0.001146,0.001516,-0.000098
64.870854,-0.245851,-0.253305,9.787934,0.001106,-0.001349,-0.000869
64.880718,-0.253141,-0.244992,9.790389,-0.000011,-0.001797,0.000912
64.890619,-0.235289,-0.250864,9.779140,-0.001775,0.000921,-0.001329
64.900492,-0.241172,-0.252187,9.789486,0.000133,0.001452,0.003234
64.910395,-0.249808,-0.252367,9.786028,0.001175,-0.002989,-0.000722
64.920264,-0.244768,-0.243436,9.811763,-0.002837,-0.002855,-0.001426
64.930168,-0.242648,-0.244048,9.785104,0.004371,-0.000766,-0.000594
64.940037,-0.245293,-0.264741,9.790968,-0.000059,0.000033,-0.004136
64.949950,-0.246174,-0.259974,9.792534,0.001908,-0.001083,0.000789
64.959810,-0.239861,-0.250156,9.796179,0.003235,-0.000428,0.002132
64.969707,-0.240325,-0.256970,9.797371,0.002474,-0.002981,0.000395
64.979582,-0.255491,-0.258907,9.770831,-0.000025,-0.000777,-0.002210
64.989492,-0.249340,-0.277168,9.763087,-0.000062,-0.000491,0.003312
64.999356,-0.237493,-0.269953,9.772012,0.004255,0.003362,-0.004473
65.009253,-0.226738,-0.255784,9.798959,-0.002436,0.001669,-0.000275
65.019129,-0.232464,-0.263701,9.790395,-0.001365,0.000768,0.001886
