t,ax,ay,az,wx,wy,wz
35.56,0.11734216082339455,-0.3482808562271845,19.604708711552338,-0.04186469915641205,0.016349509175148148,-0.003829903405020315
35.57,-0.07822492705037394,-0.41897483035823957,10.324274719889756,-0.000761638101625209,0.0072411564079290025,0.027565984214849786
35.58,0.007807318893599002,0.13053403506817648,10.549936298858563,0.025151994254340202,-0.02645107791885473,0.018312993486451892
35.59,0.10553758412853786,-0.032696825228954535,10.661624540005358,-0.009793354096091764,0.017789911316028483,-0.017380958783827165
35.6,-0.07737842048651433,-0.1253831334924935,10.641715977793892,-0.017304131036762857,0.001419770112135551,0.010726607631697803
35.61,-0.12706683497317878,0.2813668501787946,10.928392989925177,0.03004155003313079,0.015402754617852583,-0.010865736036936304
35.62,0.04358715393501381,0.03251320804421267,10.781634722853388,-0.009296627741212284,-0.0046260941470183045,-0.032557128343712854
35.63,-0.1379409152299999,-0.17753157668244626,10.346295077359391,0.005466112813795495,-0.024923944146195046,-0.03409128748601829
35.64,-0.04576046273523138,-0.12842009336046523,10.597270219968177,0.0029201664970053085,0.04074460424375622,-0.03335283478205893
35.65,0.14853995705954143,-0.16847385904592943,10.620237231711567,-0.03374995323784706,-0.0022649692110831704,-0.00068969894070233
35.66,0.11705881504881126,0.1485798626786541,10.36657512695071,0.004040085372982846,-0.024234968924610804,0.0027543480318102916
35.67,0.04770310273603468,0.07035608130480318,10.257465983462112,-0.06482491380426814,-0.011020992159599351,0.04584111123777247
35.68,0.013223028877998078,-0.04710416192120874,9.854289740419981,-0.009159169418053085,-0.003679900305051388,-0.012253962479453363
35.69,0.14241964651997735,-0.25976839819605946,10.145344687311137,0.006115816746216042,-0.017776463697592296,-0.013092827225208738
35.7,0.21658720529953182,-0.299353235648052,10.32990723907495,0.0002460526642112412,0.0008663664794499833,0.002065350635825147
35.71,-0.09551061659691283,0.07216458356076579,9.70849146638202,-0.016863742296058706,-0.020044131827072043,0.019496456635201914
35.72,0.11842269983680899,-0.07595338239027334,9.852994103297696,0.013556493765500503,0.013341797181332986,-0.003207214477274387
35.73,0.16358340838167817,0.09407673683875184,10.063312090769694,-0.023310549759632305,0.011290783681227408,-0.0029420224906888132
35.74,-0.2380325286689292,0.3192586576613096,10.365054758039507,-0.011550140789061773,0.005659631257883103,-0.00048519221474211766
35.75,0.04139540918119157,-0.11059020782832983,10.147139393781059,0.017152930254545177,-0.017771106223938977,-0.022316897785754273
35.76,0.22815847180213608,-0.13045093131115446,10.36288810663175,-0.034731645338708525,-0.023463831347493042,-0.015014890260018952
35.77,-0.14746773532686172,0.037303458889837465,9.765775286211678,0.0009749771921059309,0.020974329074289973,-0.0028475209564586433
35.78,-0.01618030990030869,0.07998570381541341,9.798766209853834,-0.04404953712759362,-0.0016222095385651318,-0.039267598072839874
35.79,0.08701177969283226,0.11472048653603673,10.038720351889546,0.029523374705019995,-0.00834668689354144,0.010457286962627824
35.8,-0.1088068668507943,-0.02975492098456428,10.110158043618501,-0.00928591658695186,-0.00984099868481881,-0.006297041100923348
