t,lat,lon,alt
1.1,48.85660627317468,2.3522078871513763,35.386469031477596
1.2,48.85659721795467,2.3521915185176,34.27499712001855
1.3,48.85660248288696,2.3522075206953446,35.480092246667795
1.4,48.85659828630182,2.3521985375219856,33.68245352907536
1.5,48.85662144719743,2.3521990160916553,36.94348294961524
1.6,48.85661079840208,2.352206094869292,36.30035469480894
1.7000000000000002,48.85659199309635,2.352206194411676,34.86220366161354
1.8,48.85660224013571,2.3522131283569427,34.00043827057057
1.9,48.85660765539414,2.3521924440692845,33.64066196650452
2.0,48.856606234305076,2.3522062637762473,35.59899875651928
2.1,48.85660826917138,2.3522220582841014,35.63361157059192
2.2,48.85660102948877,2.3522051184360557,33.83361835821524
2.3,48.856606134993854,2.3522012318287326,34.156048174009314
2.4,48.856588791016414,2.352201083177936,34.87598114474487
2.5,48.85660688388436,2.352209907663321,36.57745250307356
2.6,48.85658633084804,2.3521954904116096,35.244935578166434
2.7,48.85661171810985,2.352206681382873,36.33861044419792
2.8,48.856602083970756,2.352196427781891,35.10735542138605
2.9,48.85660094684928,2.352207615394059,35.10532060240203
3.0,48.85660484527963,2.3522037096755635,34.97563091139395
3.1,48.856609748448975,2.3521951453800094,35.679123768512596
3.2,48.8565995347924,2.3521991893805367,37.161291007048675
3.3,48.8565943596697,2.352186967966221,35.18347020395717
3.4,48.85658894535311,2.3521846222157308,36.22328760437142
3.5,48.85658711231449,2.3521942336547923,37.16140813630421
3.6,48.85661383428314,2.3521846175850682,36.45009131071893
3.7,48.8565875439473,2.352191193852698,33.93424620315086
3.8,48.85659290811155,2.3522066959751253,34.24972513968496
3.9,48.856592505962546,2.3522061883613383,34.246762796037146
4.0,48.856611838932366,2.3522182279152313,35.66558204432011
4.1,48.856607801914166,2.352204891730679,33.59117310762303
4.2,48.85659833615992,2.3522036744494303,36.38827518366486
4.3,48.85660164599226,2.352201928647857,35.060114824425156
4.4,48.856584719487344,2.3522101222590353,36.49040943000648
4.5,48.85659132759675,2.3521890660889295,33.79606072784163
4.6,48.85661055348442,2.3522126617247885,35.932749798774154
4.7,48.85658591261733,2.35221003817398,35.805007323788736
4.8,48.856611531936274,2.3521814798291265,36.25280704465408
4.9,48.85659340599383,2.3522023247633252,33.990396637528406
5.0,48.85660545542044,2.352224420328658,35.10156662952605
5.1,48.85661733598033,2.352205032584248,35.22141148552929
5.2,48.85660547200303,2.3522190534806,34.18278165149951
5.3,48.856588299168216,2.352207279229576,34.57536870798328
5.4,48.856598488192255,2.3522010835353675,35.987292024199526
5.5,48.85659996868128,2.352202248120218,35.2101624959689
5.6,48.856604534623074,2.352198917362906,34.96386905568059
5.7,48.85658665675037,2.352205105923473,36.0491045244943
5.8,48.85661103620556,2.352198830086762,34.68225366613038
5.9,48.85659913488348,2.35217851925004,35.54310776327429
6.0,48.85660021158244,2.3522168611154526,35.99756123291252
6.1,48.856605343685935,2.3522166030284954,33.91856712517174
6.2,48.85659125646294,2.3522164196404436,35.060736023586415
6.3,48.85660165006444,2.352215031408598,35.456610881248835
6.4,48.85660379090863,2.3522104381215962,35.832166786524546
6.5,48.85659177800451,2.352198912427607,34.88692853002874
6.6,48.85659329432347,2.35220549112181,35.671195356048294
6.7,48.85660590950303,2.352204122615643,36.13941293772617
6.8,48.85660984821872,2.352200948563674,36.6292489857755
6.9,48.85660836630125,2.3522223112322225,36.05205182113557
7.0,48.85659818834614,2.3521843413457817,34.916215260707894
7.1,48.85658082536726,2.352206555519601,36.03289248243331
7.2,48.85657612241165,2.3522191094758647,37.17800891291583
7.3,48.856598006634336,2.352194457352745,36.31577397496475
7.4,48.856597192232464,2.352239143011474,34.63133265789379
7.5,48.85660799479166,2.352207182362339,34.78404881206576
7.6,48.856602295047445,2.352217242730734,36.78954062739236
7.7,48.85658955424382,2.35222629070951,32.99670949251715
7.8,48.8565890505316,2.3522184803076303,35.94178608226048
7.9,48.85659601554504,2.3522093392345305,36.46946325942583
8.0,48.85659467884819,2.3522199237824974,35.98483576281126
8.1,48.856597738426395,2.35223286960484,36.532036964672045
8.2,48.85662095520665,2.352211483848942,35.08622041019666
8.3,48.85659038711534,2.3522201288794835,34.379958884050566
8.4,48.85662252574765,2.3522154390641465,35.31155213235148
8.5,48.85659337013394,2.3522105938692492,35.260689312935476
8.6,48.856593430935575,2.352234291051577,35.108019670973064
8.7,48.856594234976,2.3522149364860123,35.89395246959773
8.8,48.856596088597115,2.352222038933593,34.50959513050445
8.9,48.856590784901805,2.3522284347673095,35.7297500441189
9.0,48.85660944402611,2.352218902884705,36.761376601241444
9.1,48.856607657088155,2.352219860966022,34.82895169939628
9.2,48.85660150778056,2.3522399516138637,34.27771582307204
9.3,48.856599143515226,2.3522267321043926,36.6071454385177
9.4,48.85660281803412,2.3522327072722313,35.661096354736586
9.5,48.85660287215822,2.3522280840952994,36.10315387157194
9.6,48.856598397579404,2.3522205183962135,34.54407100972314
9.7,48.85660028538193,2.3522318760622363,34.21129112113874
9.8,48.856606905799296,2.352228688423355,34.16063672669956
9.9,48.85659840913863,2.352221816294633,33.665328657518174
10.0,48.85661918035617,2.3522271638699137,36.16698724499392
10.1,48.856591670951715,2.352219652551625,36.50188613526844
10.2,48.85660309531181,2.352223660698497,35.490936109917904
10.3,48.856599487913975,2.3522350780742034,34.97489398397384
10.4,48.856597283614505,2.352236334676128,35.469598468562076
10.5,48.85661110659112,2.3522197569937937,33.93609483948958
10.6,48.856602311716934,2.352230301508282,35.32936373503291
10.7,48.85660063964183,2.352223952129149,35.97991733880313
10.8,48.85660537213235,2.35221297232038,36.61420125500788
10.9,48.85658549913151,2.352221550942903,34.36469033130769
11.0,48.85659015370357,2.3522271135661574,34.74146951219302
11.1,48.856596594606685,2.3522130397927956,34.428354310231285
11.2,48.85658871483038,2.3522177165349127,36.21312671064701
11.3,48.85661801544188,2.3522116259276182,35.71488897591219
11.4,48.85658805011215,2.3522295863489564,34.58867366281454
11.5,48.85660445394952,2.3522244180547442,34.153344369994365
11.6,48.856604282540914,2.3522322020577975,35.9871789619142
11.7,48.85658682822133,2.352216780774785,34.483521454053076
11.8,48.85659936501264,2.35222631897661,34.66707002919699
11.9,48.85660804568635,2.352215896019437,33.9059994882102
12.0,48.85660599000131,2.352210815181638,33.903091538052365
12.1,48.85660057358191,2.3522120252241354,34.50129997035323
12.2,48.85659550464458,2.3522030095070603,34.765979762469605
12.3,48.85660384692054,2.352212747146197,34.58534162046234
12.4,48.85660612816603,2.35221583277255,36.90424049829158
12.5,48.85661784937333,2.3522204010992893,33.96621341151264
12.6,48.85661184426106,2.3522232779157513,35.64652398913413
12.7,48.85658472111216,2.352234251965619,33.731131450153654
12.8,48.8566023522128,2.352224232315183,35.40532027953514
12.9,48.85662329104451,2.352235527264871,34.959127391387945
13.0,48.85662053173137,2.3522101120882684,33.56548482510276
13.1,48.85661420489166,2.3522069413675673,34.71520041819962
13.2,48.85660661043862,2.3522072260149707,36.65531832912284
13.3,48.85661430222436,2.352214313865036,35.86478966123196
13.4,48.85661011882327,2.3522190504726197,36.34559602920263
13.5,48.85662042052851,2.3522219362873265,35.31460175022538
13.6,48.856601116763365,2.3522143144107233,33.7765430535178
13.7,48.85660375741322,2.352211803550627,36.21274931360298
13.8,48.85660281977241,2.3522287975816063,35.26754637737788
13.9,48.85660231040307,2.3522137307581104,34.53548558161566
14.0,48.85662373234836,2.35219966949503,32.92623059566529
14.1,48.856615047011076,2.35219325784982,34.01356963605275
14.2,48.85661248357139,2.3522108072002164,34.961695878319716
14.3,48.85660744773222,2.3522193504082467,36.612419796657946
14.4,48.85661508659823,2.3522083251309445,35.890182077172575
14.5,48.856601603296504,2.352198671651664,35.38571370847429
14.6,48.85662175913425,2.3522249093368837,35.37074929521082
14.7,48.856606835000655,2.352206173424029,36.62714177637387
14.8,48.85660527178459,2.352215573072972,36.93536225028501
14.9,48.856612690015595,2.352199074939349,35.86952770030433
15.0,48.85659159398388,2.352216828343195,34.83501297106921
15.1,48.856603401891824,2.352211678950779,37.09036342894337
15.2,48.856608328746134,2.352223872135409,33.369405195600066
15.3,48.85662286370204,2.3522164758249002,34.92625496749168
15.4,48.85660268035856,2.3522198197511255,34.588383448139375
15.5,48.856589285300146,2.3522143841392276,36.021350158826785
15.6,48.856605879132886,2.352213052146553,36.50841241203751
15.7,48.8566233152436,2.3522182033354473,34.02011174513201
15.8,48.8566090333565,2.3522196899957204,35.23364719245536
15.9,48.856631360512374,2.3522008262147662,35.41299787087915
16.0,48.85661169735061,2.3522167442212307,35.589480204413164
16.1,48.856627795421446,2.3522189692469686,37.01970474332121
16.2,48.856609429366664,2.352215503209299,35.44292763166368
16.3,48.85661141379738,2.3522195626360833,37.70251495803886
16.4,48.85661890498725,2.3521942326425247,34.24382862385259
16.5,48.85661771408454,2.352220630270259,35.56653303648563
16.6,48.85661128554556,2.352214576535676,35.7696327406742
16.7,48.85660762052982,2.3522095770279225,36.34868061573258
16.8,48.856615860067045,2.3522087211925795,35.73294908162624
16.9,48.85659949789182,2.352208846396752,36.601324308510456
17.0,48.856605720662586,2.3522198710947837,34.99117978305286
17.1,48.8566087426094,2.3522169040751457,34.90463388619934
17.2,48.85659841877054,2.352201622220887,36.62000047004116
17.3,48.856608253547854,2.352189811459413,35.24977796970001
17.4,48.85660669749427,2.352208738581225,35.56984716928867
17.5,48.856599422155085,2.352192022235346,35.36837662512687
17.6,48.85660273707488,2.3522149497777534,35.42560410154561
17.7,48.856610748544334,2.3522120506339963,35.07484697985251
17.8,48.85659853834829,2.3521986542214015,34.440702792108866
17.9,48.856614119759556,2.3522156225765776,34.33038093342901
18.0,48.856614355699755,2.352201911968117,36.50443639367579
18.1,48.856603104993546,2.3521957889575353,35.21265188655297
18.2,48.85661577580638,2.3521878618350343,34.949335585310806
18.3,48.85659123781881,2.3521847453128655,35.75275415832716
18.4,48.85660557955057,2.3521950947625134,34.71574648248045
18.5,48.85660878843701,2.352206126719815,34.79865754082387
18.6,48.8566038634817,2.352213451685524,34.69268584618101
18.7,48.85660684202927,2.352187388840243,39.108903890184095
18.8,48.85659181501954,2.3521987390582897,35.59436505910468
18.9,48.85661822288152,2.352215974304374,36.48718397653649
19.0,48.85660315836669,2.352203185366046,34.40888588977325
