t,dx,dy
302.54,7.993783969266644,-4.102040056683791
302.56,2.566409603518011,0.349151485647095
302.58,-9.326574507319314,-15.244436145366052
302.6,-28.46886890148521,-26.51486046295468
302.62,7.413294256800281,-3.857355540162338
302.64,11.012736942507736,3.0457811904419216
302.66,-8.856191261959886,-24.034337566363057
302.68,0.057545711634517716,-0.13399055959174433
302.7,22.13106121140556,53.4609328510963
302.72,-127.95186596597776,30.40035168928455
302.74,-0.13224039018939493,0.08772130931014743
302.76,-0.34062466793316304,-0.13150957994465529
302.78,-0.11250489680015363,-4.125263490462771
302.8,5.721009219529346,1.6017959171517901
302.82,-0.21676458213325844,-0.0401212294320743
302.84,-0.0012793813849896196,-0.05042188542088155
302.86,-0.15684540097250022,0.29901743074138665
302.88,12.040451868363906,-0.8122470195672946
302.9,-0.023419256016623535,0.14043886260356686
302.92,-0.023974952846849362,-0.13055002667034188
302.94,0.0064196965364935465,-0.2918493202847472
302.96,8.764428691460399,-0.8156863674314394
302.98,0.13762814561995285,0.03265959369121063
303.0,-0.05003046798688615,-0.2864682157057601
303.02,21.314354935621893,-2.160871747012628
303.04,2.9720083018515417,1.4777105643430524
303.06,0.29188154568855396,0.03671765648658365
303.08,-0.10200788744858613,-0.8029034700324331
303.1,11.025194585418362,-3.3868365673761787
303.12,-17.179136432583782,-3.243422883045234
303.14,-0.014608020813291489,-0.02386791533754007
303.16,-17.95206472084373,-31.00170116053969
303.18,11.55527356684448,-2.2966425565853044
303.2,0.27331357916360943,-0.21411079604912686
303.22,-0.016524024976384055,-0.20569007103597414
303.24,-0.18274076359617197,-0.37483886889950924
303.26,14.06216158179754,-0.4128959055619461
303.28,0.010440455627726664,-0.175870444743083
303.3,0.02018475844852574,-0.09145316732754338
303.32,-0.005321550819083143,-0.25549528879633954
303.34,11.798961115429577,-0.3909636625172297
303.36,-0.05304024409355179,-0.31738864373618014
303.38,-0.02807443078618377,-0.08284823231795713
303.4,0.020395965562588714,0.4653518978936866
303.42,5.701032717463949,-0.2168962595725361
303.44,-0.07686143615607932,0.19764319759404358
303.46,-0.0021800142719925475,-0.1503962394980789
303.48,19.466127444023925,-2.2180738745832898
303.5,0.9578740211699284,-0.1964041776633394
303.52,0.039866582507663395,0.12797865196104397
303.54,0.07296582388583772,-0.25258837641154486
303.56,0.14680939405905846,1.6569474131849375
303.58,0.03012577573867503,-0.3316026334887212
303.6,0.04157868603987325,0.01620550809422383
303.62,0.10298640370172407,0.02872324285882044
303.64,15.560157228703172,0.8306347386857702
303.66,0.07682216078642057,-0.27837172781324426
303.68,-0.02699894150860871,-0.08895182713249028
303.7,0.06887245248721285,-0.23242610915725948
303.72,25.603684296572133,-1.6134775502836618
303.74,0.06504983118108498,-0.08887267584574232
303.76,-0.002939222248919293,-0.11455548563858997
303.78,-0.05787905815589056,-0.13117834385919735
303.8,1.14071059587436,1.4847267903427408
303.82,0.03438162887383811,-0.3657343497664627
303.84,-0.05627981468591514,-0.024976527303010698
303.86,0.09181988453121903,-0.0529835747369205
303.88,-1.2719782876110415,-0.9445786983635074
303.9,0.03408155477177033,-0.15314912117833757
303.92,-0.0919548140648132,-0.20218252393832614
303.94,-0.41578686344345783,0.85001174156994
303.96,3.1266242858440236,0.37728720176286856
