t,range
302.52,inf
302.54,inf
302.56,inf
302.58,inf
302.6,inf
302.62,inf
302.64,inf
302.66,-inf
302.68,-inf
302.7,-inf
302.72,-inf
302.74,-inf
302.76,-inf
302.78,-inf
302.8,-inf
302.82,0.023075908422470093
302.84,0.019999999552965164
302.86,0.02838272415101528
302.88,0.03376244753599167
302.9,0.03665585815906525
302.92,0.03301817178726196
302.94,0.03427764028310776
302.96,0.04677748307585716
302.98,0.038724515587091446
303.0,0.0504906065762043
303.02,0.05488240718841553
303.04,0.05246953293681145
303.06,0.05788286402821541
303.08,0.059555359184741974
303.1,0.061657898128032684
303.12,0.0658719465136528
303.14,0.07485594600439072
303.16,0.06661026924848557
303.18,0.07474198192358017
303.2,0.07243062555789948
303.22,0.07195860147476196
303.24,0.07474606484174728
303.26,0.07834894210100174
303.28,0.07636904716491699
303.3,0.08700397610664368
303.32,0.09559953957796097
303.34,0.0939776748418808
303.36,0.10057228803634644
303.38,0.10585509985685349
303.4,0.11279872059822083
303.42,0.10543757677078247
303.44,0.10643026977777481
303.46,0.11154381185770035
303.48,0.11403631418943405
303.5,0.10852410644292831
303.52,0.11875052005052567
303.54,0.11763932555913925
303.56,0.12293317168951035
303.58,0.11428136378526688
303.6,0.13233545422554016
303.62,0.1387610137462616
303.64,0.1326204240322113
303.66,0.14256732165813446
303.68,0.14667275547981262
303.7,0.137433260679245
303.72,0.14873775839805603
303.74,0.14742140471935272
303.76,0.16029955446720123
303.78,0.16171517968177795
303.8,0.15252292156219482
303.82,0.16174621880054474
303.84,0.16380327939987183
303.86,0.16382820904254913
303.88,0.17258888483047485
303.9,0.17054913938045502
303.92,0.1856413036584854
303.94,0.1754053831100464
303.96,0.182077556848526
303.98,0.1842065304517746
304.0,0.19088558852672577
304.02,0.19823725521564484
304.04,0.18682146072387695
304.06,0.19766449928283691
304.08,0.19743096828460693
304.1,0.19946512579917908
304.12,0.1994682103395462
304.14,0.20141194760799408
304.16,0.2028089165687561
304.18,0.21068623661994934
304.2,0.22370602190494537
304.22,0.22018423676490784
304.24,0.21768110990524292
304.26,0.2232210636138916
304.28,0.22334839403629303
304.3,0.2394992560148239
304.32,0.2301609069108963
304.34,0.23780803382396698
304.36,0.2311737984418869
304.38,0.2420579493045807
304.4,0.2421959936618805
304.42,0.2431555539369583
304.44,0.2539494037628174
304.46,0.2503160834312439
304.48,0.25678813457489014
304.5,0.25654470920562744
304.52,0.26291733980178833
304.54,0.26901304721832275
304.56,0.27167633175849915
304.58,0.27477455139160156
304.6,0.2775130569934845
304.62,0.2765265107154846
304.64,0.2738822400569916
304.66,0.2757411003112793
304.68,0.285511314868927
304.7,0.2815287709236145
304.72,0.2932874262332916
304.74,0.29404085874557495
304.76,0.2936038672924042
304.78,0.2963179647922516
304.8,0.30461931228637695
304.82,0.30385541915893555
304.84,0.3125462234020233
304.86,0.3063923716545105
304.88,0.3065641522407532
304.9,0.31443288922309875
304.92,0.3176300823688507
304.94,0.3278633952140808
304.96,0.3227740228176117
304.98,0.32910022139549255
305.0,0.3286539912223816
305.02,0.33741724491119385
305.04,0.3332875669002533
305.06,0.33277714252471924
305.08,0.34541475772857666
305.1,0.33694329857826233
305.12,0.3423563241958618
305.14,0.3483704924583435
305.16,0.339117169380188
305.18,0.3493274748325348
305.2,0.365806519985199
305.22,0.3624897301197052
305.24,0.3640020489692688
305.26,0.3699321448802948
305.28,0.37604203820228577
305.3,0.3762449622154236
305.32,0.3787563741207123
305.34,0.3779177665710449
305.36,0.3759278357028961
305.38,0.37404969334602356
305.4,0.37941285967826843
305.42,0.3896065056324005
305.44,0.38752466440200806
305.46,0.39243873953819275
305.48,0.3974614441394806
305.5,0.40089237689971924
305.52,0.4026920199394226
305.54,0.40268170833587646
305.56,0.3998551368713379
305.58,0.4106750786304474
305.6,0.3973860740661621
305.62,0.412574827671051
305.64,0.4125702977180481
305.66,0.42258381843566895
305.68,0.4195154905319214
305.7,0.4219832420349121
305.72,0.43147581815719604
305.74,0.43027839064598083
305.76,0.43615153431892395
305.78,0.44208022952079773
305.8,0.44504424929618835
305.82,0.44406914710998535
305.84,0.4413078725337982
305.86,0.4528793394565582
305.88,0.4433446526527405
305.9,0.4566862881183624
305.92,0.46309420466423035
305.94,0.46714717149734497
305.96,0.4600216746330261
305.98,0.4665584862232208
306.0,0.4713267683982849
306.02,0.4691612422466278
306.04,0.4690972566604614
306.06,0.47299477458000183
306.08,0.4881540536880493
306.1,0.4880768656730652
306.12,0.4905824661254883
306.14,0.49423205852508545
306.16,0.4941445589065552
306.18,0.4895176589488983
306.2,0.5028129816055298
306.22,0.4996481239795685
306.24,0.5090684294700623
306.26,0.500670850276947
306.28,0.5142121911048889
306.3,0.5068554282188416
306.32,0.5232259035110474
306.34,0.5127210021018982
306.36,0.519281804561615
306.38,0.5318519473075867
306.4,0.5263667106628418
306.42,0.5430262684822083
306.44,0.5267983078956604
306.46,0.5379945039749146
306.48,0.535054624080658
306.5,0.549761176109314
306.52,0.5402919054031372
306.54,0.5441333055496216
306.56,0.5483688116073608
306.58,0.5481162667274475
306.6,0.554621696472168
306.62,0.5505749583244324
306.64,0.5543048977851868
306.66,0.5700927376747131
306.68,0.5625952482223511
306.7,0.5661840438842773
306.72,0.5788443684577942
306.74,0.5817108154296875
306.76,0.5713025331497192
306.78,0.584553599357605
306.8,0.5847207307815552
306.82,0.584330677986145
306.84,0.5933756232261658
306.86,0.5919414162635803
306.88,0.5929721593856812
306.9,0.6078972220420837
306.92,0.6029485464096069
306.94,0.6065970659255981
306.96,0.6034685373306274
306.98,0.6036056876182556
307.0,0.609108567237854
307.02,0.6159657835960388
307.04,0.6150351762771606
307.06,0.6281747221946716
307.08,0.62569659948349
307.1,0.6256501078605652
307.12,0.626337468624115
307.14,0.6312443017959595
307.16,0.6309678554534912
307.18,0.6315447688102722
307.2,0.6433989405632019
307.22,0.632079541683197
307.24,0.6560987234115601
307.26,0.6573526859283447
307.28,0.6489537954330444
307.3,0.6507285833358765
307.32,0.6482065320014954
307.34,0.6532902121543884
307.36,0.6692596077919006
307.38,0.6654911041259766
307.4,0.6659365892410278
307.42,0.6689825654029846
307.44,0.6771244406700134
307.46,0.6759292483329773
307.48,0.6750840544700623
307.5,0.6878243684768677
307.52,0.6844170689582825
307.54,0.6948307752609253
307.56,0.694862961769104
