t,dx,dy
724.74,-15.010863853072458,-19.65198459916804
724.76,21027.26338063216,-19407.633495145492
724.78,10.366078397932906,25.00001135458774
724.8,13.799986413042436,0.23449803617464227
724.82,-5.292590976633527,31.8769990835812
724.84,0.1683805111863208,-0.5478440893875174
724.86,17.80900883718595,25.078264956074953
724.88,-6.3338852300571915,0.511028658133899
724.9,0.586742161432344,-0.32468190536338426
724.92,-0.31383794781502417,-0.11489149855155034
724.94,-0.2528729755325614,-1.7228473358428928
724.96,13.036050127187089,-2.1877008956067954
724.98,0.27677984619221974,-0.13532903781366912
725.0,-0.03496765332533158,-0.05834668844740065
725.02,0.01285503414939626,-2.8393002251432335
725.04,15.74598734240633,-0.2973142235836832
725.06,0.4763270484530153,0.0511030206993226
725.08,-0.03314799628213905,-0.11724257640467073
725.1,-0.29311718768937567,-0.2267203781451883
725.12,-0.04366466585273798,4.118402620106643
725.14,0.08805684077762166,0.02703155934557344
725.16,-0.1276725676360897,0.0690269635545917
725.18,0.056006510779919694,0.4836716254377329
725.2,0.9464914660320431,4.348971683260245
725.22,0.03694078052189198,0.010138032268358188
725.24,-0.09127440434786394,0.023824258832171097
725.26,7.6969296388784265,-3.7549371429758196
725.28,-0.0444773449967002,-2.034921759645947
725.3,0.16633167355492517,0.015234063726783376
725.32,-0.052513810150955464,-0.269920262436969
725.34,-0.027652445939558845,0.5673890875645391
725.36,-0.051722309326876825,-0.01756682617490668
725.38,0.032774264135344566,-0.23444690783713185
725.4,0.06783097972715169,-0.7480930103622967
725.42,-0.3835915061311326,0.27315623392843236
725.44,0.33640549944742304,-0.5062258294185895
725.46,0.023799776201787637,-0.2646733129539527
725.48,-0.004053841300553529,-0.17423353003356823
725.5,14.892165686837167,0.04641812750028507
725.52,0.09865011816565783,-0.23455799367722108
725.54,-0.022189972040955297,-0.3809009756775481
725.56,-0.035148749320171646,-0.2999008945305093
725.58,-0.14987931856116887,-0.09210627141522565
725.6,0.01813192062408575,-0.3319368044384632
725.62,0.016527549745642744,-0.04254910669367007
725.64,0.1652691589747235,0.2390133359012765
725.66,7.750229239381611,-6.710625446309486
725.68,0.012231874465523873,-0.2133266521527304
725.7,0.06682947991066612,-0.11210767582516468
725.72,0.6533897475180588,1.11096873787654
725.74,-20.053623018090065,-0.2619183307873243
725.76,0.2535661849563198,-0.08395108768602455
725.78,0.08874390079277816,-0.285147875709967
725.8,-0.29214233759787334,0.6384289199500301
725.82,-26.758073235401504,-5.392549301073821
725.84,0.04187581428956122,-0.06345520430785001
725.86,0.22419825261258097,-0.4021007694150498
725.88,0.5460449560949883,1.5331296871802458
725.9,-0.12083024058396319,-0.37234249259292085
725.92,0.01870189794351873,-0.15106460474379446
725.94,0.014595835144582736,-0.2766266641480186
725.96,14.735144832989715,0.9425795026885488
725.98,0.04206376371413967,0.053262208228407104
726.0,0.013610317666000071,-0.09401856429456501
726.02,0.21011869543964323,-0.11104585389178823
726.04,17.41368843177215,3.0134333009440404
726.06,-0.032483059622997246,-0.17580882993543412
726.08,-0.0044198512547311,-0.18017594866718412
726.1,0.01294248245132934,0.027143968809664187
726.12,6.888143189297352,-0.7241283470699997
726.14,-0.17618546771846155,-0.09842342349080013
726.16,-0.009665890185814874,-0.2888334527449459
726.18,-0.07435215751973345,0.204971954363522
726.2,1.3910344306532778,2.3538222741743233
726.22,-0.057483666527090804,-0.13843788571925586
726.24,-0.03937327929428136,-0.18816348729271937
726.26,-0.9263083887937213,0.8541842894000453
726.28,1.1053510676877032,-0.14626241115295358
726.3,0.03338431806731634,-0.1768651961098513
726.32,0.06944937997667111,-0.5541624324845742
726.34,0.03439431666962278,0.14729810738103666
726.36,-0.08084629470154425,-0.14736981391730808
726.38,-0.019995688019292857,-0.10596254023788276
726.4,0.07641200895322342,-0.4386259168157025
726.42,-0.48072646256340335,1.4780982731777144
726.44,-0.01833134152036564,-0.0997018217783534
726.46,0.03031878015159606,-0.09898315761057574
726.48,-0.07946509694940573,-0.16589346572988006
726.5,-0.2968236645691249,-0.7372855051201057
726.52,-0.13050307296511932,0.05495390531485356
726.54,-0.0732312008002225,-0.21229413886234028
726.56,-0.08646523264263806,-0.061798680622779045
726.58,5.7452217039675695,-1.2865998153803488
726.6,-0.20050162438839436,0.11797301704902452
726.62,0.005747902165868624,-0.12058391551131109
726.64,-0.25601931010869095,0.14313753097080806
726.66,-13.506392430251509,-2.2780514457900622
726.68,-0.17760345165041258,0.11400727184602744
726.7,-0.08081585329944829,-0.046854534491501454
726.72,0.13804594129690884,-0.3161188206601864
726.74,0.84038422934049,-0.14766653559212983
726.76,-0.08069755221602293,-0.03489497545439235
726.78,-0.0041475812882438845,-0.27756297489816006
726.8,0.0743476558745364,0.2583480413259167
726.82,0.04454924897205359,-0.17963844230089876
726.84,-0.0475445750493364,-0.10724954000642839
