t,range
724.7,inf
724.72,inf
724.74,inf
724.76,inf
724.78,inf
724.8,inf
724.82,inf
724.84,-inf
724.86,-inf
724.88,-inf
724.9,-inf
724.92,-inf
724.94,-inf
724.96,-inf
724.98,-inf
725.0,0.02770882099866867
725.02,0.0270831435918808
725.04,0.028385324403643608
725.06,0.0329660028219223
725.08,0.031195765361189842
725.1,0.033383943140506744
725.12,0.039407409727573395
725.14,0.03820032998919487
725.16,0.04439854621887207
725.18,0.04856472089886665
725.2,0.04746242240071297
725.22,0.05695146694779396
725.24,0.04805890470743179
725.26,0.053461670875549316
725.28,0.06504806876182556
725.3,0.060103002935647964
725.32,0.05541756749153137
725.34,0.06625965982675552
725.36,0.07071321457624435
725.38,0.06960715353488922
725.4,0.07099522650241852
725.42,0.07262267172336578
725.44,0.07024691253900528
725.46,0.08458184450864792
725.48,0.0783146470785141
725.5,0.0911579430103302
725.52,0.09705229103565216
725.54,0.09496639668941498
725.56,0.09265494346618652
725.58,0.09228596836328506
725.6,0.10031705349683762
725.62,0.10644718259572983
725.64,0.11646851152181625
725.66,0.11198049038648605
725.68,0.12205915153026581
725.7,0.12472669035196304
725.72,0.11878383904695511
725.74,0.12287594377994537
725.76,0.130518838763237
725.78,0.1205345094203949
725.8,0.1284753382205963
725.82,0.13577494025230408
725.84,0.1283242106437683
725.86,0.1357620656490326
725.88,0.13591423630714417
725.9,0.148264542222023
725.92,0.1556473970413208
725.94,0.15440163016319275
725.96,0.1524135023355484
725.98,0.1461920291185379
726.0,0.15849460661411285
726.02,0.16526539623737335
726.04,0.17119845747947693
726.06,0.16725032031536102
726.08,0.15876591205596924
726.1,0.17475999891757965
726.12,0.18025250732898712
726.14,0.17362143099308014
726.16,0.18494971096515656
726.18,0.1805332750082016
726.2,0.1852688491344452
726.22,0.1923169493675232
726.24,0.18649588525295258
726.26,0.19921034574508667
726.28,0.20218586921691895
726.3,0.20410408079624176
726.32,0.2039453685283661
726.34,0.2026149332523346
726.36,0.2136567085981369
726.38,0.2100927084684372
726.4,0.2194392830133438
726.42,0.2169618457555771
726.44,0.22390171885490417
726.46,0.22390827536582947
726.48,0.23496124148368835
726.5,0.22918342053890228
726.52,0.232150137424469
726.54,0.2268127053976059
726.56,0.2428426295518875
726.58,0.23821653425693512
726.6,0.24715472757816315
726.62,0.25210699439048767
726.64,0.2508392035961151
726.66,0.25122305750846863
726.68,0.2623189091682434
726.7,0.25230374932289124
726.72,0.26106929779052734
726.74,0.2687280476093292
726.76,0.2642573118209839
726.78,0.2845679819583893
726.8,0.2728561460971832
726.82,0.2749798893928528
726.84,0.2870159447193146
726.86,0.2826325595378876
726.88,0.2801978290081024
726.9,0.2882732152938843
726.92,0.2949157655239105
726.94,0.29442599415779114
726.96,0.2935256361961365
726.98,0.297967791557312
727.0,0.30811795592308044
727.02,0.30294907093048096
727.04,0.30783697962760925
727.06,0.3043712377548218
727.08,0.3065842390060425
727.1,0.3205198049545288
727.12,0.3254629075527191
727.14,0.3233373761177063
727.16,0.3304637670516968
727.18,0.3209686279296875
727.2,0.3300969898700714
727.22,0.3306595981121063
727.24,0.33260294795036316
727.26,0.3425667881965637
727.28,0.3494402766227722
727.3,0.3537448048591614
727.32,0.3480479121208191
727.34,0.3497088849544525
727.36,0.347720742225647
727.38,0.360504686832428
727.4,0.3575995862483978
727.42,0.3655604124069214
727.44,0.35796818137168884
727.46,0.36904457211494446
727.48,0.37178024649620056
727.5,0.37342241406440735
727.52,0.38052964210510254
727.54,0.38976219296455383
727.56,0.3892337679862976
727.58,0.3798277974128723
727.6,0.39078208804130554
727.62,0.3886818289756775
727.64,0.38975661993026733
727.66,0.395666241645813
727.68,0.3996522128582001
727.7,0.40299615263938904
727.72,0.40648195147514343
727.74,0.4032041132450104
727.76,0.4111918807029724
727.78,0.409088134765625
727.8,0.4081791639328003
727.82,0.4221512973308563
727.84,0.42428910732269287
727.86,0.42531222105026245
727.88,0.431431382894516
727.9,0.4233227074146271
727.92,0.4405469000339508
727.94,0.43447333574295044
727.96,0.4366264343261719
727.98,0.4450952112674713
728.0,0.4545927941799164
728.02,0.44064074754714966
728.04,0.4474146366119385
728.06,0.44681984186172485
728.08,0.4569167494773865
728.1,0.46510428190231323
728.12,0.46008750796318054
728.14,0.4575883150100708
728.16,0.4588346481323242
728.18,0.46770885586738586
728.2,0.4841187000274658
728.22,0.47553887963294983
728.24,0.48626136779785156
728.26,0.48177123069763184
728.28,0.4812066853046417
728.3,0.48617076873779297
728.32,0.4856920540332794
728.34,0.4964061975479126
728.36,0.5060082674026489
728.38,0.4978733956813812
728.4,0.5004829168319702
728.42,0.49957898259162903
728.44,0.5024967193603516
728.46,0.5125234127044678
728.48,0.5050073862075806
728.5,0.5085166692733765
728.52,0.5196439623832703
728.54,0.5263784527778625
728.56,0.5240088105201721
728.58,0.5307652950286865
728.6,0.5297998189926147
728.62,0.5376662015914917
728.64,0.5323729515075684
728.66,0.5420027375221252
728.68,0.542177140712738
728.7,0.5385453701019287
728.72,0.5513591766357422
728.74,0.5588548183441162
728.76,0.5578547120094299
728.78,0.5538420081138611
728.8,0.5511627793312073
728.82,0.5578852295875549
728.84,0.5569278597831726
728.86,0.5786151885986328
728.88,0.569118320941925
728.9,0.5645996332168579
728.92,0.5701780915260315
728.94,0.5770167708396912
728.96,0.5849729776382446
728.98,0.5772663950920105
729.0,0.5873154997825623
729.02,0.5946515798568726
729.04,0.5944458842277527
729.06,0.5939250588417053
729.08,0.6044042110443115
729.1,0.598717987537384
729.12,0.5960817337036133
729.14,0.6070654392242432
729.16,0.6047821640968323
729.18,0.6111643314361572
729.2,0.6125314831733704
729.22,0.6211921572685242
729.24,0.6254708170890808
729.26,0.6274731755256653
729.28,0.6232717037200928
729.3,0.6306586861610413
729.32,0.6282182335853577
729.34,0.6278231143951416
729.36,0.6383950114250183
729.38,0.6326277852058411
729.4,0.6424121856689453
729.42,0.638992965221405
729.44,0.650618314743042
729.46,0.6591770648956299
729.48,0.640247642993927
729.5,0.6525743007659912
729.52,0.6566362380981445
729.54,0.6619170904159546
729.56,0.6686835289001465
729.58,0.6690927743911743
729.6,0.6745535135269165
729.62,0.6746015548706055
729.64,0.6671991348266602
729.66,0.6804021000862122
729.68,0.6737428903579712
729.7,0.6767504811286926
729.72,0.6950191259384155
729.74,0.6919107437133789
729.76,0.6902018189430237
729.78,0.6910193562507629
729.8,0.7088706493377686
729.82,0.7047471404075623
729.84,0.704943060874939
729.86,0.7120282053947449
729.88,0.7023084759712219
729.9,0.7171772718429565
729.92,0.7082116007804871
729.94,0.7231542468070984
729.96,0.7300704717636108
729.98,0.7154856324195862
730.0,0.7209286093711853
730.02,0.7370027899742126
730.04,0.7230347394943237
730.06,0.7368868589401245
730.08,0.736335813999176
730.1,0.7329429984092712
730.12,0.7495747804641724
730.14,0.7477249503135681
730.16,0.7488051056861877
730.18,0.749608039855957
730.2,0.7565255165100098
730.22,0.7581747174263
730.24,0.7534863352775574
730.26,0.7642952799797058
730.28,0.7676348090171814
730.3,0.775902271270752
730.32,0.768112063407898
730.34,0.7762272357940674
730.36,0.769767165184021
730.38,0.7833616137504578
730.4,0.7862169742584229
730.42,0.7884935736656189
730.44,0.7957959175109863
730.46,0.7861351370811462
730.48,0.7872165441513062
730.5,0.7948033809661865
730.52,0.7998842597007751
730.54,0.8027717471122742
730.56,0.803057849407196
730.58,0.8143230080604553
730.6,0.8059908747673035
730.62,0.808899462223053
730.64,0.8195715546607971
730.66,0.8219859004020691
730.68,0.8302628993988037
730.7,0.8275014758110046
730.72,0.8342679142951965
730.74,0.8280530571937561
730.76,0.8419716358184814
730.78,0.830997109413147
730.8,0.8378823399543762
730.82,0.8377829790115356
730.84,0.8429952263832092
730.86,0.8505517840385437
730.88,0.8564367890357971
730.9,0.8569867014884949
730.92,0.8548721075057983
730.94,0.8567758202552795
730.96,0.8583162426948547
730.98,0.8606226444244385
731.0,0.8780338168144226
731.02,0.8731416463851929
731.04,0.8784339427947998
731.06,0.8808502554893494
731.08,0.875427782535553
731.1,0.8812462091445923
731.12,0.886740505695343
731.14,0.8845216631889343
731.16,0.8956151604652405
731.18,0.8906757831573486
731.2,0.9104065299034119
731.22,0.8915656805038452
731.24,0.8969195485115051
731.26,0.9183000326156616
731.28,0.9041953086853027
731.3,0.908968448638916
731.32,0.9229227304458618
731.34,0.9257242679595947
731.36,0.9164349436759949
731.38,0.9306883215904236
731.4,0.9344192743301392
731.42,0.938446581363678
731.44,0.9288631081581116
731.46,0.9274082183837891
731.48,0.9331274032592773
731.5,0.9496661424636841
731.52,0.9411134719848633
731.54,0.9487584829330444
731.56,0.9498370289802551
731.58,0.9572953581809998
731.6,0.9586077332496643
731.62,0.966212809085846
731.64,0.9703783988952637
731.66,0.9593407511711121
731.68,0.9697507619857788
731.7,0.9655576348304749
731.72,0.9768133759498596
731.74,0.9669542908668518
731.76,0.9857538342475891
731.78,0.9888474345207214
731.8,0.9892740249633789
731.82,0.9918398857116699
731.84,0.9790562391281128
731.86,0.9832584857940674
731.88,0.9918197393417358
731.9,0.9923248887062073
731.92,0.9903596639633179
731.94,0.9986875057220459
731.96,0.994384229183197
731.98,0.9838632345199585
732.0,0.9954782128334045
732.02,0.9911776185035706
732.04,0.9986413717269897
732.06,0.9977702498435974
732.08,1.0008479356765747
732.1,0.9907916188240051
732.12,0.9976544380187988
732.14,0.9870098829269409
732.16,0.9899494051933289
732.18,0.9903534650802612
732.2,0.9993895292282104
732.22,0.9847151637077332
732.24,0.985525906085968
732.26,0.974503219127655
732.28,0.9735013246536255
732.3,0.9747046828269958
732.32,0.9770192503929138
732.34,0.9722457528114319
732.36,0.9791662693023682
732.38,0.9637356400489807
732.4,0.963108479976654
732.42,0.9622132778167725
732.44,0.9601098299026489
732.46,0.9548380374908447
732.48,0.9517160654067993
732.5,0.9486921429634094
732.52,0.9533660411834717
732.54,0.9486513733863831
732.56,0.9523587226867676
732.58,0.9501842260360718
732.6,0.949426531791687
732.62,0.9404458403587341
732.64,0.9323489665985107
732.66,0.9333369731903076
732.68,0.9351057410240173
732.7,0.9269020557403564
732.72,0.9239902496337891
732.74,0.9247971177101135
732.76,0.9230497479438782
732.78,0.9248865842819214
732.8,0.9213800430297852
732.82,0.9181467890739441
732.84,0.9123730659484863
732.86,0.9113427400588989
732.88,0.8983508944511414
732.9,0.904804527759552
732.92,0.9209645986557007
732.94,0.8928553462028503
732.96,0.8937737941741943
732.98,0.8990128636360168
733.0,0.8958655595779419
733.02,0.9013544917106628
733.04,0.8820256590843201
733.06,0.8919390439987183
733.08,0.8842813968658447
733.1,0.8964350819587708
733.12,0.8730086088180542
733.14,0.8696780800819397
733.16,0.874904990196228
733.18,0.8777942657470703
733.2,0.8607997298240662
733.22,0.8669870495796204
733.24,0.8680924773216248
733.26,0.8660458326339722
733.28,0.8667605519294739
733.3,0.8527121543884277
733.32,0.8614145517349243
733.34,0.8576767444610596
