t,x,y,z,qx,qy,qz,qw
580.0,-9.7219725000101e-07,-5.169757096694336e-07,0.00019294471118936132,-2.9905093846231843e-06,-1.585613952115671e-06,-2.487988971482254e-06,0.9999999999911763
580.02,-9.97741485936766e-07,-4.6730379840551265e-07,0.00019605755375574213,-1.2363042690362137e-06,-1.2943392624478085e-06,-2.434144471709943e-06,0.9999999999954355
580.04,-1.0426849420579322e-06,-3.096018215611803e-07,0.0003506502610817752,2.7750981548087058e-06,-5.85923052193667e-07,-2.6680891309678314e-06,0.9999999999924184
580.06,-1.035551507997273e-06,-5.304684756868209e-07,0.0008506670092790596,-3.0436643999135334e-06,-1.2000832063147649e-06,-2.4370905186477892e-06,0.9999999999916782
580.08,-1.0709359797241382e-06,-4.4089954881710234e-07,0.0016509576698058304,-6.418626222057177e-07,-6.592074369932563e-07,-2.5125916201376763e-06,0.9999999999964201
580.1,-1.0866169883838295e-06,-4.4400806048597247e-07,0.002789620900041874,-1.1216479382583777e-06,-6.525805314878103e-07,-2.5189092643517926e-06,0.9999999999959855
580.12,-1.0968169791532555e-06,-4.94843911173368e-07,0.004199980786025816,-2.90867125383499e-06,-7.45086636139834e-07,-2.433173566344373e-06,0.9999999999925321
580.14,-1.1228643789980198e-06,-4.0966690968190885e-07,0.005757606171542161,-1.28576529109682e-06,-3.947666553863581e-07,-2.4771839939243506e-06,0.9999999999960272
580.16,-1.1371741329634126e-06,-3.70783307927302e-07,0.007426418416946506,-1.0271384304809889e-06,-3.2003439832619896e-07,-2.484110401286695e-06,0.9999999999963358
580.18,-1.1490967975080475e-06,-3.5115271457260297e-07,0.009233055036409692,-1.1666656139380982e-06,-2.453687985544915e-07,-2.460329041191604e-06,0.9999999999962628
580.2,-1.161231434653549e-06,-3.0617123058087223e-07,0.011108615280123437,-5.697409906504182e-07,-1.1700827053750175e-07,-2.4775131390943196e-06,0.9999999999967618
580.22,-1.1666922063297197e-06,-2.8819995687782376e-07,0.013098788956972987,-6.079745999074406e-07,-1.1842640900684485e-07,-2.4667138226884777e-06,0.9999999999967658
580.24,-1.173706869397861e-06,-2.614740095860468e-07,0.01523110090173908,-3.0714243923118175e-07,-3.839457998013574e-08,-2.471510771947698e-06,0.9999999999968979
580.26,-1.1778448485672173e-06,-2.408722805799145e-07,0.017512144949600576,-8.18485006839665e-08,-3.913933499898997e-09,-2.476955069189655e-06,0.999999999996929
580.28,-1.1795119884922654e-06,-2.326605676006568e-07,0.01987866960737558,-8.502310768854712e-08,-6.566350223302962e-09,-2.4726039793648438e-06,0.9999999999969394
580.3,-1.1817578437748623e-06,-2.2231185239086513e-07,0.022281041236133566,4.905019350544859e-08,2.5824717398338797e-08,-2.475491606945922e-06,0.9999999999969345
580.32,-1.1822323969460592e-06,-2.1829580024077512e-07,0.024661777314304228,7.250231813200493e-08,2.507564444428733e-08,-2.475718074777701e-06,0.9999999999969325
580.34,-1.1822464298789814e-06,-2.1721239688495388e-07,0.02711285314792737,6.862003871311337e-08,2.363852865858736e-08,-2.4744562288531674e-06,0.9999999999969359
580.36,-1.1823463997808212e-06,-2.1559512257951785e-07,0.029606994747391306,1.0896520550548908e-07,3.063875572365023e-08,-2.476390513256922e-06,0.9999999999969273
580.38,-1.1817073583711307e-06,-2.1729203590540694e-07,0.03207628979019014,8.14179900571059e-08,2.191717525148275e-08,-2.4756213278083176e-06,0.9999999999969321
580.4,-1.1812186115230302e-06,-2.1880580759571432e-07,0.034578152272861665,7.168044411900722e-08,1.9259684117509857e-08,-2.475560406897102e-06,0.999999999996933
580.42,-1.1806867380086657e-06,-2.2044539702445977e-07,0.03710412634723501,6.1564701616496e-08,1.5325215894502552e-08,-2.4759810676436537e-06,0.9999999999969327
580.44,-1.180092204621638e-06,-2.226108264014642e-07,0.03954782573394696,3.6915635181182734e-08,8.927494162178407e-09,-2.475511893732424e-06,0.9999999999969351
580.46,-1.179727140798113e-06,-2.2398879649539017e-07,0.04193184175691905,2.9183215558742868e-08,7.085354078265618e-09,-2.4756429772214796e-06,0.9999999999969351
580.48,-1.1793838432587586e-06,-2.2526285207390721e-07,0.044330998219030124,1.8504672518797745e-08,4.067592395797509e-09,-2.4756953098914256e-06,0.9999999999969352
580.5,-1.179130621097494e-06,-2.2627809661536733e-07,0.04671396517166633,9.681143465448967e-09,1.970989013856051e-09,-2.4755564736551055e-06,0.9999999999969357
580.52,-1.1789867053599664e-06,-2.2687824810131356e-07,0.04915583987899614,6.911116085024102e-09,1.3877679691907896e-09,-2.4757001023168996e-06,0.9999999999969355
580.54,-1.1788524790073907e-06,-2.2743449860313455e-07,0.05167717921379078,1.3089467709224077e-09,4.542469569775068e-12,-2.4755972195600495e-06,0.9999999999969357
580.56,-1.1787914039551913e-06,-2.2771918575997727e-07,0.05428144288189976,-2.3690787498367255e-10,-2.4632046465240163e-10,-2.4756043241562404e-06,0.9999999999969357
580.58,-1.1787636351276171e-06,-2.27861173330999e-07,0.05696076821956819,-4.846558788312493e-10,-2.3085425230589155e-10,-2.4756645034570115e-06,0.9999999999969356
580.6,-1.1787339869041508e-06,-2.279937030827862e-07,0.05970449522828118,-2.1151959583635527e-09,-6.511281811851179e-10,-2.4756323957408154e-06,0.9999999999969356
580.62,-1.178728400342507e-06,-2.2803567156660375e-07,0.06248697965100388,-2.477909527356136e-09,-6.966351530250429e-10,-2.4756197878181897e-06,0.9999999999969357
580.64,-1.1787372408914624e-06,-2.280164614910124e-07,0.06527764269486003,-2.057086845553071e-09,-5.540734759502215e-10,-2.475642505088541e-06,0.9999999999969356
580.66,-1.178744294047508e-06,-2.279971974965859e-07,0.06807516637421752,-2.0942190551137637e-09,-5.559458849124869e-10,-2.475628414998084e-06,0.9999999999969356
580.68,-1.1787595231827288e-06,-2.279457309017468e-07,0.07085339441965448,-1.4869584645292324e-09,-3.785758802382942e-10,-2.475635918405833e-06,0.9999999999969356
580.7,-1.1787715705742348e-06,-2.2790203551872247e-07,0.0735481973980029,-1.1409703764192039e-09,-2.8778147060065286e-10,-2.475640671754591e-06,0.9999999999969356
580.72,-1.1787811435834388e-06,-2.2786620133827134e-07,0.07625790712098801,-9.31496194303742e-10,-2.3455861949131605e-10,-2.475634052988493e-06,0.9999999999969356
580.74,-1.1787912951799468e-06,-2.278279997378857e-07,0.07901009798933298,-5.630174465024591e-10,-1.3571509528053356e-10,-2.475640778292369e-06,0.9999999999969356
580.76,-1.178797542432505e-06,-2.2780313446691723e-07,0.0818028503141077,-4.3014380984828995e-10,-1.0665762448342543e-10,-2.475638284649022e-06,0.9999999999969356
580.78,-1.178802939437079e-06,-2.2778169077778624e-07,0.08456578540814176,-2.6707303468012203e-10,-6.730213049781004e-11,-2.4756371960442218e-06,0.9999999999969356
580.8,-1.1788074644533801e-06,-2.2776413396494243e-07,0.08728014264987338,-1.0596949991642496e-10,-2.476717125744229e-11,-2.4756391252878345e-06,0.9999999999969356
580.82,-1.1788100552084887e-06,-2.2775364073943613e-07,0.08991004874686759,-3.96419557757793e-11,-9.692101443027988e-12,-2.4756384082077387e-06,0.9999999999969356
580.84,-1.1788118708261166e-06,-2.2774638762178397e-07,0.09256315575600788,1.8117510548954305e-11,4.6184216886082926e-12,-2.4756385091875664e-06,0.9999999999969356
580.86,-1.1788129010662314e-06,-2.2774227215386333e-07,0.09523506543227186,4.9220698299035945e-11,1.2315298943381758e-11,-2.4756387074410653e-06,0.9999999999969356
580.88,-1.178813330870939e-06,-2.277405083235193e-07,0.09787199995789041,5.931451508352963e-11,1.4484511485822704e-11,-2.4756384379516212e-06,0.9999999999969356
580.9,-1.1788134876389565e-06,-2.277399486073774e-07,0.1004968082962727,6.52309676376969e-11,1.6342357964566177e-11,-2.475638672236607e-06,0.9999999999969356
580.92,-1.1788133518704e-06,-2.277404965121197e-07,0.10306998355649732,5.896326535049345e-11,1.473645939140791e-11,-2.475638548759438e-06,0.9999999999969356
580.94,-1.1788131166462463e-06,-2.27741448256556e-07,0.1056605855213707,5.179524848120714e-11,1.2985759131151048e-11,-2.475638549504701e-06,0.9999999999969356
580.96,-1.1788128145939752e-06,-2.2774268659549757e-07,0.10824779889936709,4.101052565303863e-11,1.0479381068541805e-11,-2.475638609910497e-06,0.9999999999969356
580.98,-1.1788125021210479e-06,-2.2774393010003392e-07,0.11075663141031628,3.029797540373226e-11,7.785425585282614e-12,-2.4756384822761257e-06,0.9999999999969356
581.0,-1.1788122528376235e-06,-2.27744930867894e-07,0.11330100241918703,2.3924699787117633e-11,6.286970176187447e-12,-2.475638576344501e-06,0.9999999999969356
581.02,-1.1788120056266874e-06,-2.2774590594016944e-07,0.11591362669764282,1.525493077277856e-11,4.128377066656034e-12,-2.475638508297832e-06,0.9999999999969356
581.04,-1.1788118117753301e-06,-2.277466540009953e-07,0.11854569242731469,9.286673785293889e-12,2.5795361063103637e-12,-2.4756384731241324e-06,0.9999999999969356
581.06,-1.1788116747334476e-06,-2.2774718643109733e-07,0.12116247699174207,5.618066309294472e-12,1.693356387383777e-12,-2.475638527697667e-06,0.9999999999969356
