t,lat,lon,alt
302.6,48.85661362629577,2.3522045741777364,34.34483344407907
302.7,48.85659186151502,2.352202402970937,34.46464444063653
302.8,48.85660572699386,2.35219892614988,35.94899634887681
302.9,48.85659074580499,2.3522000618755143,35.61149953084649
303.0,48.856595338530646,2.3522074432250153,34.65487575860925
303.1,48.85659500887954,2.35218951281789,36.39280960569666
303.2,48.856598673902724,2.3521926468159022,35.89876184794862
303.3,48.856593098367945,2.3521931049369615,35.13504345624585
303.4,48.856596304581885,2.3521926729021074,34.07915709685576
303.5,48.856595612347235,2.352188999863872,35.846568448454114
303.6,48.85660348378439,2.3522011764077635,35.09199001470061
303.7,48.85660198249537,2.3522032359831457,36.61598141251799
303.8,48.85658679779276,2.35220834619573,34.98205604295438
303.9,48.856608085709055,2.352202221697248,35.13566053656262
304.0,48.856605003585926,2.3522116689053623,35.27050838734263
304.1,48.8566001191555,2.3521836885141663,35.945598103187066
304.2,48.856587275747046,2.352188835884058,34.95810809683787
304.3,48.85657958293968,2.3522009810392306,36.793248867145294
304.4,48.856585479292235,2.352204804466629,35.24982918332526
304.5,48.8565879326018,2.3521942980762267,35.472183985337104
304.6,48.85660975595297,2.352195790658778,34.89725150454481
304.7,48.85659892412564,2.3521974592616375,35.94147227130105
304.8,48.85659959798015,2.3522147008588274,34.39100421775775
304.9,48.856596493878975,2.352215499923468,35.175177529518514
305.0,48.85659495628552,2.352196639135376,35.94157162978805
305.1,48.85658780378392,2.352204216705851,35.33374716230598
305.2,48.85659873602053,2.352203833268889,35.04207241913333
305.3,48.85660178056655,2.3521970900215265,34.69097910160799
305.4,48.8566021544995,2.35219377490425,35.04146058041403
305.5,48.856606940922354,2.3522030919934576,35.07168193267536
305.6,48.85659518018981,2.3521953360245464,34.9938891360831
305.7,48.856590358141304,2.352189966615543,34.79706139876861
305.8,48.8565932785029,2.3521954951665043,36.82929524080152
305.9,48.85658823704605,2.352188816698848,34.90375492647665
306.0,48.85660486810543,2.3521989131663403,34.957984400887035
306.1,48.85660604239984,2.3521939341515155,36.497033518497986
306.2,48.85660976763796,2.3521816672756275,36.762490376000535
306.3,48.85660262538906,2.352223082660819,35.865298511140935
306.4,48.856607441630196,2.3522051623678575,35.71858093197041
306.5,48.856600431920995,2.352200451280156,35.808579372479144
